OD	Day	CFU	InjDate
0.05	2	2833	5/18/19
0.05	2	8083	5/18/19
0.05	2	1022	5/18/19
0.05	2	5472	5/18/19
0.05	2	5250	5/18/19
0.5	2	7166	5/18/19
0.5	2	79583	5/18/19
0.5	2	4611	5/18/19
0.5	2	13562	5/18/19
0.5	2	10104	5/18/19
0.5	0	2091	5/18/19
0.5	0	1833	5/18/19
0.5	0	822	5/18/19
0.5	0	2055	5/18/19
0.5	0	2612	5/18/19
0.5	0	2441	5/2/19
0.5	0	1383	5/2/19
0.5	0	133	5/2/19
0.5	0	1055	5/2/19
0.005	0	200	5/2/19
0.005	0	266	5/2/19
0.005	0	33	5/2/19
0.005	0	16	5/2/19
0.05	1	1300	5/18/19
0.05	1	375	5/18/19
0.05	1	3583	5/18/19
0.05	1	7458	5/18/19
0.05	1	4333	5/18/19
0.5	1	9520	5/18/19
0.5	1	9361	5/18/19
0.5	1	10687	5/18/19
0.5	1	83	5/18/19
0.5	1	12354	5/18/19
0.05	0	325	5/18/19
0.05	0	200	5/18/19
0.05	0	605	5/18/19
0.05	0	311	5/18/19
0.05	0	572	5/18/19
0.5	0	8900	4/24/19
0.5	0	12490	4/24/19
0.5	0	4525	4/24/19
0.5	0	7780	4/24/19
0.05	3	6533	5/18/19
0.05	3	8666	5/18/19
0.05	3	6876	5/18/19
0.05	3	13236	5/18/19
0.05	3	1529	5/18/19
0.005	0	66	5/21/19
0.005	0	83	5/21/19
0.005	0	66	5/21/19
0.005	0	50	5/21/19
0.005	1	316	5/21/19
0.005	1	383	5/21/19
0.005	1	300	5/21/19
0.005	1	133	5/21/19
0.005	1	583	5/21/19
0.05	4	225	5/18/19
0.05	4	2016	5/18/19
0.05	4	6491	5/18/19
0.05	4	21055	5/18/19
0.05	4	7950	5/18/19
0.5	4	50854	5/18/19
0.5	4	16500	5/18/19
0.5	7	96666	5/18/19
0.5	7	10555	5/18/19
0.5	7	9520	5/18/19
0.5	6	17437	5/18/19
0.5	6	17083	5/18/19
0.5	6	17604	5/18/19
0.5	5	15277	5/18/19
0.5	5	44305	5/18/19
0.5	5	21145	5/18/19
0.5	5	15555	5/18/19
0.5	5	31520	5/18/19
0.005	4	2466	5/21/19
0.005	4	983	5/21/19
0.005	4	2783	5/21/19
0.005	4	1800	5/21/19
0.005	4	11687	5/21/19
0.005	2	750	5/21/19
0.005	2	700	5/21/19
0.005	2	4083	5/21/19
0.05	5	9055	5/21/19
0.05	5	9791	5/21/19
0.05	5	5550	5/21/19
0.05	5	7666	5/21/19
0.05	7	10916	5/18/19
0.05	7	11138	5/18/19
0.05	7	9395	5/18/19
0.05	7	2820	5/18/19
0.5	3	12500	5/18/19
0.5	3	33750	5/18/19
0.5	3	10416	5/18/19
0.5	3	14500	5/18/19
0.5	3	11145	5/18/19
0.05	6	6270	5/18/19
0.05	6	11250	5/18/19
0.05	6	7666	5/18/19
0.05	6	10138	5/18/19
0.05	6	9805	5/18/19
0.005	3	972	5/21/19
0.005	3	1566	5/21/19
