,Control_78_Day_0_Rep3,Control_78_Day_0_Rep4,Control_78_Day_3_Rep1,Control_78_Day_3_Rep2,FSHD2_19_Day_0_Rep1,FSHD2_19_Day_0_Rep2,FSHD2_19_Day_3_Rep1,FSHD2_19_Day_3_Rep2
ENSG00000223972.5|DDX11L1,0,2,0,0,0,0,0,0
ENSG00000227232.5|WASH7P,6,20,6,13,9,6,0,14
ENSG00000278267.1|MIR6859-1,0,0,0,0,0,0,0,0
ENSG00000243485.5|MIR1302-2HG,0,0,0,0,0,0,0,0
ENSG00000284332.1|MIR1302-2,0,0,0,0,0,0,0,0
ENSG00000237613.2|FAM138A,0,0,1,0,3,0,0,4
ENSG00000268020.3|OR4G4P,0,0,0,0,0,0,0,0
ENSG00000240361.2|OR4G11P,0,0,0,0,0,0,0,0
ENSG00000186092.6|OR4F5,0,0,0,0,0,0,0,0
ENSG00000238009.6|AL627309.1,0,3,5,8,5,2,2,20
ENSG00000239945.1|AL627309.3,5,3,3,4,1,7,6,2
ENSG00000233750.3|CICP27,24,20,27,24,37,15,19,17
ENSG00000268903.1|AL627309.6,1,0,0,0,10,3,0,0
ENSG00000269981.1|AL627309.7,0,0,0,0,0,0,0,0
ENSG00000239906.1|AL627309.2,0,0,2,0,0,0,0,0
ENSG00000241860.6|AL627309.5,12,12,9,25,21,29,25,32
ENSG00000222623.1|RNU6-1100P,0,0,0,0,0,0,0,0
ENSG00000241599.1|AL627309.4,0,0,0,0,0,1,0,0
ENSG00000279928.2|FO538757.2,0,0,0,0,0,0,0,0
ENSG00000279457.4|FO538757.1,96,77,121,110,18,85,75,33
ENSG00000273874.1|MIR6859-2,0,0,0,0,0,0,0,0
ENSG00000228463.10|AP006222.1,25,10,39,99,26,33,58,63
ENSG00000236679.2|RPL23AP24,0,0,0,0,0,0,0,0
ENSG00000236601.2|AL732372.1,1,0,0,0,0,0,0,0
ENSG00000237094.12|AL732372.2,33,21,26,16,33,49,23,35
ENSG00000269732.1|WBP1LP7,0,0,0,0,0,0,0,0
ENSG00000284733.1|OR4F29,0,0,0,0,0,0,0,0
ENSG00000233653.3|CICP7,0,0,0,0,0,1,0,0
ENSG00000250575.1|AL732372.3,0,0,0,3,0,0,4,3
ENSG00000278757.1|RF00026,0,0,0,0,0,0,0,0
ENSG00000230021.10|AL669831.3,13,2,11,4,18,22,12,21
ENSG00000235146.2|AC114498.1,0,0,0,0,0,0,0,0
ENSG00000225972.1|MTND1P23,13,10,17,6,43,10,22,5
ENSG00000225630.1|MTND2P28,416,409,492,752,811,189,905,369
ENSG00000237973.1|MTCO1P12,5,4,8,11,50,9,71,17
