gene_name,Control-1 Day 3 Rep 1,Control-1 Day 3 Rep 2,Control-1 Day 5 Rep 1,Control-1 Day 5 Rep 2,FSHD2-1 Day 3 Rep 1,FSHD2-1 Day 3 Rep 2,FSHD2-1 Day 5 Rep 1,FSHD2-1 Day 5 Rep 2
DDX11L1,3.43619,0.0,4.41801,1.26056,25.3638,0.0,0.0,18.8015
WASH7P,22.436,17.4727,24.5502,17.4606,15.7591,3.15989,17.5166,7.42976
MIR6859-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR1302-2HG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR1302-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM138A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4G4P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4G11P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICP27,37.2634,40.7716,35.3681,42.1007,45.2596,26.872,35.9691,34.6284
AL627309.6,0.0,2.32356,0.0,2.3672,0.0,0.0,0.0,0.0
AL627309.7,0.0,0.0,0.668967,1.53809,0.0,0.0,0.0,0.0
AL627309.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-1100P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FO538757.1,0.0,0.0,0.0,1.91824,0.0,0.0,0.0,0.0
WASH9P,121.432,134.183,80.8281,92.6404,163.035,113.472,116.726,121.783
MIR6859-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP006222.1,84.80423,105.62778,95.533675,107.09124,116.54386,115.148869,89.3969000285887,111.22964
RPL23AP24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL732372.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL732372.2,25.043296,28.37219,41.60386,25.328282,45.416610000000006,50.20519999999999,38.28253,58.61726
WBP1LP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICP7,1.45478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL732372.3,2.94826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.3,20.68334,29.78872,13.70728,20.52592,31.749858054370005,20.98694194762,19.28318,21.79508
AC114498.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTND1P23,26.5057,7.27941,26.6741,2.27425,11.5857,19.9153,21.3809,17.3683
MTND2P28,695.017,521.584,767.01,820.896,556.805,932.523,864.366,1132.5
MTCO1P12,7.8185,6.44791,9.00246,12.1962,10.5581,11.5975,8.77067,11.5904
AC114498.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTCO2P12,7.31753,1.85081,1.61494,1.23088,7.24832,2.41117,7.27883,3.62468
MTATP8P1,3.11726,1.03363,0.0,3.12836,3.11259,1.03876,4.14915,3.0964
MTATP6P1,2256.06,2304.49,1588.55,1649.39,3614.48,3151.4,2842.08,3730.96
MTCO3P12,7.59716,3.02003,1.49242,9.19032,13.7306,12.1618,13.6973,12.2529
WBP1LP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICP3,2.87166e-06,0.0,0.0,0.0,0.0,3.99763,0.0,0.0
