gene_name,C_3_1,C_3_2,C_5_1,C_5_2,F_3_1,F_3_2,F_5_1,F_5_2
DDX11L1,0.199543,0.0,0.275608,0.0790131,1.21635,0.0,0.0,0.954882
WASH7P,1.62801,1.2081,1.9122,1.36778,0.944094,0.19531,1.24893,0.471472
MIR6859-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR1302-2HG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR1302-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM138A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4G4P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4G11P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICP27,0.899209,0.937041,0.918534,1.09618,0.902493,0.551634,0.855257,0.730931
AL627309.6,0.0,0.312802,0.0,0.361076,0.0,0.0,0.0,0.0
AL627309.7,0.0,0.0,0.376434,0.894921,0.0,0.0,0.0,0.0
AL627309.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-1100P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FO538757.1,0.0,0.0,0.0,0.414445,0.0,0.0,0.0,0.0
WASH9P,8.49285,8.94197,6.06887,6.99441,9.41438,6.75956,8.02285,7.44869
MIR6859-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP006222.1,7.652549,8.273705999999999,11.5894679,13.852227,9.717422,5.437712899999999,7.19587900117487,8.604945
RPL23AP24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL732372.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL732372.2,5.8149179,6.144824,9.721131,5.3844927,8.026639000000001,9.751384000000002,8.316651,10.834027
WBP1LP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICP7,0.0550299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL732372.3,0.235438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.3,1.985188,2.591595,1.4962274,2.084023,2.3944894439949995,1.782523193492,1.66783,2.2090969
