,H9_1,H9_2,PP_1,PP_2,PC_1,PC_2,OC_2,OC_1,NC_1,NC_2,EC_1,EC_2
TSPAN6,1973.0,1839.0,4087.0,3867.0,2293.0,3460.0,982.0,951.0,1594.0,2034.0,2554.0,1983.0
TNMD,17.0,20.0,1.0,0.0,31.0,16.0,2.0,0.0,0.0,0.0,93.0,53.0
DPM1,941.0,914.0,480.0,439.0,390.0,472.0,306.0,337.0,522.0,578.0,756.0,660.0
SCYL3,175.0,183.0,557.0,542.0,407.0,477.0,280.0,256.0,336.0,402.0,328.0,307.0
C1orf112,668.0,727.0,581.0,569.0,454.0,295.0,108.0,148.0,759.0,939.0,601.0,504.0
FGR,6.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
CFH,0.0,0.0,0.0,1.0,45.0,30.0,7859.0,7521.0,0.0,2.0,0.0,0.0
FUCA2,1963.0,1957.0,1327.0,1413.0,1020.0,1507.0,1059.0,1131.0,1029.0,1357.0,1651.0,1434.0
GCLC,1599.0,1572.0,939.0,1000.0,1301.0,2987.0,806.0,675.0,604.0,751.0,1404.0,1174.0
NFYA,1921.0,1867.0,2187.0,2096.0,1452.0,1147.0,885.0,792.0,2119.0,2554.0,1785.0,1687.0
STPG1,218.0,213.0,320.0,330.0,190.0,182.0,97.0,94.0,142.0,172.0,340.0,312.0
NIPAL3,409.0,377.0,506.0,499.0,708.0,839.0,873.0,899.0,111.0,127.0,226.0,184.0
LAS1L,2492.0,2414.0,960.0,918.0,1048.0,757.0,700.0,641.0,1325.0,1578.0,1838.0,1551.0
ENPP4,200.0,211.0,617.0,566.0,242.0,393.0,12.0,8.0,181.0,207.0,248.0,195.0
SEMA3F,536.0,568.0,762.0,778.0,1395.0,1464.0,322.0,328.0,162.0,186.0,1619.0,1512.0
CFTR,41.0,40.0,307.0,367.0,500.0,1191.0,0.0,0.0,0.0,0.0,32.0,43.0
ANKIB1,2288.0,2211.0,2337.0,2252.0,1901.0,2776.0,2247.0,2237.0,1395.0,1712.0,2504.0,2201.0
CYP51A1,3689.0,3478.0,2734.0,2904.0,2684.0,2944.0,1428.0,1366.0,6329.0,8089.0,3050.0,2620.0
KRIT1,1038.0,985.0,1056.0,1057.0,917.0,844.0,594.0,624.0,1001.0,1181.0,981.0,894.0
RAD52,339.0,315.0,866.0,733.0,500.0,557.0,220.0,186.0,335.0,398.0,630.0,621.0
MYH16,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAD,325.0,294.0,452.0,375.0,434.0,372.0,561.0,497.0,402.0,540.0,450.0,420.0
LAP3,1267.0,1360.0,1615.0,1448.0,916.0,854.0,732.0,696.0,944.0,1154.0,998.0,852.0
CD99,1535.0,1498.0,4486.0,3924.0,3431.0,4710.0,6566.0,6717.0,1897.0,2511.0,4575.0,4154.0
CD99_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS3ST1,11.0,4.0,59.0,73.0,147.0,141.0,3.0,1.0,7.0,9.0,54.0,71.0
AOC1,4.0,4.0,69.0,46.0,550.0,671.0,0.0,0.0,0.0,0.0,1.0,0.0
WNT16,1.0,2.0,0.0,0.0,33.0,13.0,19.0,7.0,0.0,0.0,35.0,17.0
HECW1,190.0,199.0,7.0,6.0,36.0,29.0,4.0,2.0,137.0,154.0,145.0,179.0
MAD1L1,928.0,914.0,831.0,770.0,705.0,579.0,470.0,441.0,900.0,1179.0,1066.0,1083.0
LASP1,6958.0,6642.0,5583.0,5384.0,6336.0,9364.0,14312.0,13743.0,3825.0,4463.0,8791.0,7890.0
SNX11,612.0,558.0,343.0,376.0,285.0,367.0,316.0,297.0,465.0,569.0,503.0,440.0
TMEM176A,2.0,1.0,107.0,76.0,934.0,1243.0,0.0,0.0,25.0,26.0,0.0,1.0
M6PR,3105.0,3074.0,3062.0,2918.0,1887.0,4217.0,1583.0,1520.0,2032.0,2617.0,4488.0,3946.0
KLHL13,192.0,190.0,204.0,193.0,348.0,187.0,1.0,1.0,503.0,576.0,159.0,144.0
CYP26B1,13.0,9.0,1302.0,1412.0,820.0,229.0,24.0,26.0,571.0,829.0,1.0,5.0
