gene_name,H9_1,H9_2,PP_1,PP_2,PC_1,PC_2,OC_2,OC_1,NC_1,NC_2,EC_1,EC_2
TSPAN6,28.62,28.06,69.9,75.3,41.13,58.75,18.33,19.44,30.67,30.6,38.71,35.35
TNMD,0.57,0.77,0.03,0.0,0.96,0.46,0.06,0.0,0.0,0.0,3.08,2.27
DPM1,29.18,29.3,18.33,18.63,14.99,17.17,12.18,14.44,21.26,18.39,24.28,24.95
SCYL3,1.66,1.77,6.2,6.54,5.13,5.3,3.41,3.07,3.98,3.46,3.29,3.59
C1orf112,9.24,9.98,9.7,9.24,7.32,4.73,1.81,2.98,13.13,12.3,7.88,7.38
FGR,0.07,0.03,0.0,0.0,0.04,0.04,0.0,0.0,0.02,0.0,0.04,0.0
CFH,0.0,0.0,0.0,0.01,0.68,0.68,93.63,94.83,0.0,0.08,0.0,0.0
FUCA2,32.53,33.0,28.19,30.33,19.89,30.24,21.85,24.43,21.52,22.43,26.28,26.64
GCLC,21.96,25.4,14.27,22.29,22.61,51.54,16.26,13.87,9.93,11.77,22.48,20.33
NFYA,18.88,19.65,26.16,27.84,16.72,13.18,10.03,9.97,27.01,25.59,18.36,20.39
STPG1,4.32,3.82,6.98,8.66,3.6,3.01,1.96,2.05,2.89,3.3,6.01,7.53
NIPAL3,3.6,3.54,5.49,6.09,7.25,8.94,9.62,10.87,1.34,1.02,2.67,2.5
LAS1L,32.89,33.37,16.11,17.52,17.42,12.32,12.49,11.63,22.91,20.78,25.42,25.0
ENPP4,1.34,1.46,4.96,5.16,2.03,3.09,0.1,0.07,1.6,1.42,1.72,1.59
SEMA3F,5.42,6.52,9.86,11.95,19.9,17.6,4.4,4.95,2.53,1.8,16.85,20.37
CFTR,0.51,0.54,2.77,4.07,4.55,9.24,0.0,0.0,0.0,0.0,0.4,0.92
ANKIB1,21.93,19.21,24.25,29.77,24.33,27.31,23.74,28.65,16.21,17.98,22.01,23.36
CYP51A1,38.67,36.59,33.3,40.45,34.3,34.9,18.3,19.21,84.72,84.15,31.38,33.14
KRIT1,17.38,15.98,20.48,23.24,18.0,14.61,14.26,15.43,21.12,21.16,15.04,16.54
RAD52,8.28,7.01,21.98,18.54,13.57,11.91,6.63,5.9,8.63,9.08,13.29,15.96
MYH16,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAD,11.42,10.64,19.59,19.26,20.16,16.5,27.41,26.15,19.94,20.2,17.41,19.22
LAP3,21.91,24.32,34.07,34.42,20.27,17.33,16.43,16.83,21.53,20.04,17.33,18.16
CD99,42.14,42.13,151.13,147.87,121.09,156.17,231.12,259.76,69.69,70.82,131.46,142.55
CD99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS3ST1,0.09,0.02,1.4,0.85,1.02,1.93,0.1,0.11,0.04,0.16,0.54,0.58
AOC1,0.05,0.13,1.23,0.84,8.87,11.03,0.0,0.0,0.0,0.0,0.03,0.0
WNT16,0.03,0.02,0.0,0.0,0.46,0.27,0.3,0.1,0.0,0.0,0.39,0.26
HECW1,2.04,2.31,0.21,0.04,0.56,0.38,0.06,0.02,1.24,1.53,1.68,2.07
MAD1L1,17.04,17.86,20.79,22.78,16.87,13.47,12.17,11.55,21.84,23.06,19.26,27.91
LASP1,55.59,55.25,56.57,60.59,65.71,88.19,149.46,156.67,41.48,37.47,73.76,80.39
SNX11,9.91,9.14,7.01,8.75,7.91,6.83,6.82,6.22,11.36,9.69,8.7,8.95
TMEM176A,0.06,0.06,4.0,3.59,37.31,44.72,0.0,0.0,0.87,0.84,0.0,0.05
M6PR,69.56,74.43,79.04,90.33,53.62,111.17,47.02,52.9,66.59,61.25,103.39,115.78
KLHL13,1.83,1.88,2.32,2.85,4.21,2.18,0.01,0.01,7.12,5.64,1.71,1.66
CYP26B1,0.1,0.09,13.15,16.91,9.79,2.25,0.47,0.34,6.78,7.02,0.07,0.04
ICA1,13.32,13.18,20.38,27.78,4.06,6.28,0.83,0.66,1.52,1.79,12.17,11.37
DBNDD1,39.56,39.93,23.96,24.22,4.8,8.92,0.29,0.49,2.46,2.09,14.15,14.34
ALS2,13.36,12.98,20.07,22.63,15.09,13.73,13.21,14.96,15.87,15.88,22.95,25.73
CASP10,1.49,1.22,3.75,4.48,1.49,0.69,0.13,0.04,0.0,0.0,1.82,2.72
CFLAR,2.61,3.49,19.26,22.51,10.96,24.61,17.05,18.43,6.31,7.15,56.8,76.23
TFPI,2.6,2.67,7.32,10.6,5.07,4.05,120.81,127.69,3.52,2.99,15.69,15.6
NDUFAF7,49.05,47.05,11.51,16.29,10.57,8.28,6.63,6.84,9.63,10.74,23.39,24.72
RBM5,49.99,56.34,134.34,142.81,100.96,71.58,79.17,86.13,93.82,82.72,63.28,75.31
MTMR7,2.59,2.35,4.28,5.63,3.09,4.1,0.74,0.66,0.92,1.16,1.23,1.25
SLC7A2,4.65,3.78,15.15,18.79,32.35,38.59,42.97,50.33,5.33,4.81,14.32,15.4
ARF5,80.64,77.18,100.28,114.84,78.16,79.91,71.1,68.57,66.26,68.53,91.69,106.56
SARM1,2.47,2.33,8.34,9.22,12.24,5.64,10.36,12.12,20.9,22.49,1.35,0.92
