gene_name,TC_M_43_1,TC_M_43_2,TC_F_21_1,ATC_M_43_2,ATC_M_43_1,ATC_F_21_3,ATC_F_21_4,ATC_F_21_1,ATC_F_21_2
TSPAN6,4.0,15.0,25.0,1.0,1.0,18.0,12.0,10.0,20.0
TNMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPM1,253.0,201.0,251.0,749.0,673.0,732.0,860.0,820.0,751.0
SCYL3,342.0,362.0,339.0,835.0,712.0,709.0,730.0,752.0,652.0
C1orf112,123.0,101.0,82.0,859.0,704.0,775.0,817.0,770.0,732.0
FGR,637.0,625.0,199.0,51.0,43.0,16.0,17.0,12.0,5.0
CFH,312.0,314.0,44.0,98.0,54.0,8.0,3.0,5.0,5.0
FUCA2,95.0,79.0,72.0,363.0,291.0,274.0,283.0,238.0,253.0
GCLC,495.0,453.0,374.0,847.0,720.0,642.0,657.0,612.0,583.0
NFYA,934.0,987.0,1103.0,1314.0,1134.0,1219.0,1341.0,1157.0,1083.0
STPG1,71.0,73.0,102.0,347.0,287.0,472.0,529.0,454.0,460.0
NIPAL3,1267.0,1266.0,1801.0,2461.0,2108.0,2705.0,2864.0,2807.0,2557.0
LAS1L,894.0,953.0,897.0,1110.0,977.0,1300.0,1292.0,1218.0,1146.0
ENPP4,314.0,337.0,251.0,427.0,364.0,355.0,355.0,330.0,319.0
SEMA3F,3.0,4.0,2.0,5.0,5.0,1.0,2.0,0.0,0.0
CFTR,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0
ANKIB1,1209.0,1248.0,1230.0,2011.0,1753.0,1717.0,2023.0,1815.0,1661.0
CYP51A1,656.77,669.93,544.92,1212.14,935.05,1185.91,1224.0,1113.0,1036.0
KRIT1,652.3,669.01,649.79,882.1,794.45,960.08,1061.47,897.76,853.01
RAD52,239.0,192.0,265.0,210.0,200.0,329.0,344.0,349.0,289.0
MYH16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BAD,204.0,236.0,134.0,398.0,345.0,379.0,402.0,411.0,359.0
LAP3,546.0,527.0,429.0,2272.0,1929.0,1804.0,1708.0,1812.0,1545.0
CD99,2155.0,1964.0,1270.0,3215.0,2665.0,2036.0,2081.0,1938.0,1845.0
CD99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS3ST1,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
AOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNT16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HECW1,5.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0
MAD1L1,897.0,973.0,1351.0,813.0,732.0,808.0,781.0,683.0,685.0
LASP1,3578.0,3501.0,3056.0,7752.0,6443.0,7875.0,8607.0,7524.0,7095.0
SNX11,226.0,237.0,164.0,749.0,663.0,725.0,716.0,682.0,528.0
TMEM176A,0.0,1.0,1.0,3.0,3.0,4.0,3.0,5.0,3.0
