gene_name,TC_M_43_1,TC_M_43_2,TC_F_21_1,ATC_M_43_2,ATC_M_43_1,ATC_F_21_3,ATC_F_21_4,ATC_F_21_1,ATC_F_21_2
TSPAN6,0.1,0.39,0.57,0.04,0.02,0.25,0.18,0.18,0.34
TNMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPM1,11.55,9.92,11.66,24.43,25.35,23.21,26.77,28.34,27.66
SCYL3,3.95,4.65,4.19,8.25,8.97,6.68,7.44,8.2,7.06
C1orf112,1.86,2.31,1.2,10.57,10.24,8.82,9.55,10.76,11.69
FGR,14.26,15.99,4.85,0.89,0.89,0.26,0.26,0.37,0.08
CFH,5.15,5.07,0.79,1.12,0.82,0.06,0.08,0.08,0.1
FUCA2,2.58,1.98,1.96,6.06,5.58,3.96,4.33,3.99,4.94
GCLC,10.55,10.91,10.05,13.29,14.05,12.22,9.54,11.44,9.82
NFYA,14.34,15.54,16.84,14.01,14.75,13.48,14.32,14.41,13.28
STPG1,1.42,1.45,2.24,5.61,5.39,6.42,7.39,6.79,7.67
NIPAL3,18.83,21.02,28.51,23.36,23.72,27.27,28.58,29.42,29.08
LAS1L,16.03,21.54,18.41,16.35,14.75,17.34,18.66,18.22,18.65
ENPP4,3.05,3.49,2.51,2.99,2.96,2.44,2.41,2.47,2.53
SEMA3F,0.04,0.16,0.14,0.11,0.06,0.01,0.07,0.0,0.0
CFTR,0.0,0.0,0.0,0.02,0.06,0.01,0.0,0.0,0.08
ANKIB1,23.26,26.79,34.37,24.65,21.27,19.53,20.31,23.64,19.54
CYP51A1,10.22,11.07,8.22,12.9,12.01,12.5,12.39,12.55,12.65
KRIT1,16.7,19.62,17.89,15.27,16.39,17.11,18.65,17.32,18.61
RAD52,6.49,5.43,5.86,5.22,5.82,6.38,7.55,7.66,6.34
MYH16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
BAD,12.8,16.19,6.98,15.2,15.06,13.65,14.84,16.7,14.99
LAP3,24.84,25.04,19.09,42.19,43.22,32.21,30.18,35.11,32.04
CD99,93.86,90.6,56.49,96.06,92.88,59.09,61.76,61.19,61.61
CD99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS3ST1,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0
AOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNT16,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HECW1,0.22,0.02,0.11,0.02,0.0,0.0,0.0,0.01,0.0
MAD1L1,45.36,52.24,71.27,27.54,24.79,23.17,21.29,21.57,19.96
LASP1,45.38,49.24,38.83,69.28,66.4,65.6,71.51,71.91,70.71
SNX11,6.39,6.69,4.24,13.21,14.09,14.22,12.68,12.98,10.89
TMEM176A,0.0,0.11,0.02,0.13,0.25,0.09,0.1,0.3,0.14
M6PR,66.88,81.18,66.22,66.28,60.42,60.89,62.05,67.66,66.22
KLHL13,0.17,0.26,0.38,0.58,0.24,0.49,0.68,0.56,0.57
CYP26B1,0.0,0.11,0.0,0.01,0.01,0.0,0.07,0.0,0.0
ICA1,1.44,1.04,0.84,1.98,1.66,1.36,1.11,1.33,1.35
DBNDD1,1.0,1.3,1.45,0.62,0.44,0.37,0.29,0.79,0.35
ALS2,3.2,4.41,4.74,6.18,5.33,5.42,6.59,7.28,6.35
CASP10,7.03,9.99,18.52,7.5,7.21,5.73,6.52,7.7,6.03
CFLAR,92.93,93.01,82.97,166.35,166.29,90.56,96.47,94.43,100.75
TFPI,0.24,0.2,0.27,0.02,0.08,0.13,0.08,0.11,0.09
NDUFAF7,7.69,8.68,9.83,13.23,11.61,10.25,13.9,11.03,11.75
RBM5,123.64,135.38,141.55,74.49,68.53,68.92,74.56,78.97,80.34
MTMR7,0.1,0.2,0.0,0.02,0.14,0.07,0.07,0.02,0.0
SLC7A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARF5,37.56,40.29,35.94,49.24,52.32,55.79,56.17,49.04,53.38
SARM1,10.56,11.14,11.6,10.49,10.11,10.29,9.33,8.93,10.62
POLDIP2,11.52,12.51,12.68,33.79,34.97,38.07,37.94,37.85,37.5
PLXND1,21.86,22.88,7.82,1.8,2.96,1.32,1.7,2.95,1.24
AK2,26.51,24.55,25.5,93.77,94.05,89.89,92.7,90.91,87.33
CD38,2.02,2.15,9.12,27.16,21.78,22.03,25.05,21.42,18.14
FKBP4,22.98,20.47,19.33,27.7,28.05,35.52,31.35,33.95,31.96
KDM1A,15.99,17.52,18.32,21.23,20.8,21.37,21.11,22.09,18.18
RBM6,58.64,61.82,56.11,30.39,29.58,26.19,23.88,26.82,28.1
CAMKK1,2.84,2.51,2.4,0.96,1.13,1.06,1.1,1.41,1.35
RECQL,14.33,14.0,10.13,40.04,39.73,38.42,38.86,38.47,41.38
VPS50,14.4,15.15,11.09,10.09,11.42,9.9,10.68,10.31,10.01
HSPB6,0.1,0.0,0.0,1.02,0.79,0.71,0.58,0.74,0.56
ARHGAP33,9.65,9.96,15.36,28.86,29.5,34.74,35.81,34.37,38.58
NDUFAB1,11.56,11.43,9.67,31.74,33.48,29.13,33.4,32.43,35.26
PDK4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC22A16,0.0,0.0,0.04,0.02,0.0,0.0,0.08,0.0,0.0
ZMYND10,0.9,0.8,0.49,0.51,1.02,0.48,0.51,1.01,0.33
ABCB5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARX,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01
SLC25A13,5.39,4.68,7.61,3.64,3.36,5.12,2.55,2.61,5.18
ST7,2.32,2.6,1.33,3.11,3.23,2.37,2.57,1.39,2.3
CDC27,23.9,28.32,23.4,53.58,52.3,59.18,60.65,54.01,56.73
SLC4A1,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.08,0.01
CALCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCCS,3.48,3.25,2.82,14.03,12.39,12.65,13.18,11.67,12.44
DVL2,23.47,22.02,19.25,21.39,22.32,23.23,22.82,22.77,23.21
PRSS22,0.8,1.12,0.49,0.49,0.65,0.29,0.15,0.21,0.13
UPF1,51.32,61.47,50.58,30.17,25.42,31.24,34.34,34.36,32.03
SKAP2,2.61,2.35,3.24,4.18,3.97,5.25,9.31,9.0,6.14
SLC25A5,61.82,66.79,68.15,210.33,211.88,234.98,232.38,239.18,236.17
MCUB,37.16,38.15,42.43,18.91,22.21,22.52,21.66,21.92,22.67
HOXA11,0.0,0.0,0.0,0.04,0.05,0.05,0.06,0.05,0.07
POLR2J,13.52,15.1,15.25,17.51,16.73,23.63,22.28,23.9,22.78
DHX33,3.52,3.22,3.65,8.91,9.38,10.58,10.98,11.81,10.64
MEOX1,1.95,1.55,1.17,0.16,0.07,0.05,0.15,0.18,0.07
THSD7A,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0
LIG3,20.95,21.37,21.05,16.9,16.87,15.16,18.33,18.68,17.28
RPAP3,12.44,12.66,13.37,14.85,15.06,12.29,14.97,13.65,13.53
ACSM3,2.68,2.76,3.67,11.52,9.03,9.57,9.87,7.09,8.39
REXO5,0.3,0.38,0.27,7.14,6.78,8.38,9.92,10.71,8.64
CIAPIN1,11.34,11.53,18.7,17.09,18.64,20.1,20.67,25.21,21.14
SPPL2B,42.63,41.38,48.85,23.88,23.76,22.27,21.65,23.9,22.05
FAM214B,3.21,3.82,1.86,4.9,4.28,3.21,3.44,3.46,4.21
COPZ2,0.88,1.12,0.49,5.07,4.34,4.88,5.92,4.86,4.53
PRKAR2B,0.51,0.43,0.88,0.69,0.72,0.22,0.45,0.58,0.21
MSL3,43.53,46.57,53.25,43.7,39.88,39.34,42.03,39.01,43.55
CREBBP,62.82,78.71,64.32,24.65,22.69,24.23,26.26,27.53,27.16
TSPOAP1,26.23,26.9,11.38,23.89,22.16,16.82,17.6,20.31,19.97
MPO,0.58,0.48,0.76,0.04,0.06,0.01,0.0,0.0,0.01
PON1,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
GCFC2,8.77,10.71,9.0,7.95,8.22,6.34,8.28,10.38,7.26
WDR54,16.34,18.69,12.53,29.34,31.62,32.04,28.12,31.12,29.85
CROT,3.92,3.64,4.7,4.13,3.9,4.79,5.25,5.28,4.63
ABCB4,0.06,0.05,0.18,0.3,0.35,0.04,0.03,0.08,0.04
KMT2E,100.8,111.61,86.5,48.33,47.72,41.86,40.12,42.5,41.71
RHBDD2,40.32,47.0,27.57,25.29,25.55,22.71,23.82,23.48,23.5
SOX8,1.62,2.01,2.02,0.76,0.78,0.77,0.89,1.04,0.65
IBTK,7.79,8.6,7.68,12.74,13.76,11.9,12.03,12.97,12.37
ZNF195,12.25,12.97,9.15,13.36,14.81,13.62,16.09,16.62,14.07
MYCBP2,75.18,76.24,85.36,38.01,39.74,38.1,36.04,41.74,41.95
FBXL3,23.99,25.13,29.87,19.22,19.04,15.31,16.77,16.15,16.59
ITGAL,199.62,212.97,128.77,223.28,212.64,271.91,280.29,282.14,282.12
PDK2,9.94,10.2,7.51,11.5,10.41,10.57,14.39,11.75,12.14
ITGA3,3.94,3.7,3.4,7.3,8.85,8.88,6.9,7.04,7.76
ZFX,24.09,28.54,38.07,20.37,23.53,32.5,32.72,33.67,33.06
LAMP2,9.56,13.56,8.57,14.86,14.28,12.91,13.25,13.98,13.24
ITGA2B,0.63,1.66,1.55,1.39,2.57,1.32,0.86,2.1,1.98
ASB4,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.15
GDE1,9.81,10.56,8.51,11.34,10.55,12.57,10.93,11.75,9.66
REX1BD,37.17,39.38,45.74,19.97,22.08,27.36,24.76,25.14,24.4
CRLF1,0.1,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
OSBPL7,18.98,21.61,16.12,10.34,10.45,9.31,10.35,11.72,10.89
TMEM98,0.06,0.0,0.06,0.58,0.39,0.42,0.36,0.59,0.5
YBX2,0.0,0.18,0.16,1.55,1.53,2.73,3.94,3.69,4.29
KRT33A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K14,16.4,17.52,13.76,33.68,33.11,28.29,29.88,30.77,32.02
ABCC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CACNG3,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0
TMEM132A,0.0,0.0,0.02,1.51,1.12,0.99,1.0,0.62,0.54
AP2B1,52.31,55.64,42.49,77.12,73.54,61.47,69.31,73.39,62.34
TAC1,0.0,0.0,0.0,1.31,1.25,1.23,1.32,0.76,0.81
ZNF263,15.02,12.25,14.13,11.23,11.85,11.43,12.78,12.89,12.37
CX3CL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
SPATA20,6.38,4.92,10.25,10.78,9.57,22.76,21.37,23.76,22.15
CACNA1G,0.08,0.01,0.01,0.03,0.04,0.03,0.06,0.04,0.04
TNFRSF12A,0.38,0.62,0.17,1.7,1.75,1.15,1.67,1.51,1.52
DLX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K9,3.54,2.68,2.67,2.68,2.71,2.59,3.12,3.0,2.85
RALA,10.27,10.45,10.68,16.58,17.01,19.18,19.6,17.86,18.47
BAIAP2L1,1.91,1.13,0.62,4.16,4.27,1.73,2.13,1.73,1.73
KDM7A,13.31,15.65,16.67,16.92,15.87,10.99,11.71,10.36,11.63
ETV1,0.12,0.25,0.02,0.49,0.55,0.01,0.07,0.01,0.14
AGK,14.81,17.03,12.93,20.96,21.54,17.1,14.48,17.25,17.28
ALDH3B1,0.16,0.18,0.08,0.07,0.06,0.05,0.04,0.03,0.14
TTC22,3.98,4.74,3.37,6.62,6.37,5.97,5.52,6.45,6.0
PHTF2,15.35,15.36,11.54,11.03,11.03,7.61,6.8,7.24,7.87
CCL26,0.0,0.0,0.0,0.52,0.26,0.0,0.0,0.0,0.0
FARP2,9.87,6.77,6.65,13.05,12.63,9.51,12.8,11.04,13.67
USH1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GGCT,2.51,3.18,5.01,28.37,27.13,33.42,35.11,33.72,32.35
DBF4,18.14,17.72,16.1,28.24,24.15,27.79,31.5,29.28,28.11
TBXA2R,0.96,1.01,1.39,0.65,0.37,1.41,1.19,1.72,1.51
IFRD1,115.91,115.15,84.56,38.16,42.12,33.23,35.97,36.23,38.22
LGALS14,0.0,0.21,0.49,4.09,3.78,2.43,1.79,2.79,1.86
COX10,7.91,7.7,6.75,13.26,13.28,12.98,13.12,13.27,13.21
GTF2IRD1,0.5,0.54,0.48,1.98,1.2,2.12,1.3,1.96,1.4
PAF1,37.92,41.2,38.14,22.48,21.56,22.27,21.65,22.3,21.18
VPS41,17.17,24.86,18.2,28.02,23.34,25.91,25.45,29.92,25.75
ARHGAP44,0.0,0.08,0.01,0.04,0.21,0.09,0.23,0.12,0.15
ELAC2,29.28,27.87,28.62,26.22,27.21,26.02,28.19,27.2,24.5
SCIN,0.0,0.0,0.02,0.06,0.0,0.01,0.04,0.0,0.01
ARSD,1.2,1.22,0.56,1.02,0.71,1.26,0.61,1.45,0.58
PNPLA4,1.39,2.24,2.79,6.18,6.32,13.29,11.72,12.47,12.56
MYH13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOR2,9.21,12.44,8.66,16.0,15.23,15.84,18.1,16.63,13.78
