gene_name,A_14_M_2,A_14_M_1,A_2m_F_1,A_2m_M_1,A_2m_M_2,A_14_F_1,A_14_F_2,A_4_M_1,A_4_M_2,A_18m_M_1,A_18m_F_2,A_18m_F_1,A_4_F_1,A_4_F_2
Gnai3,36.21,37.4,43.5,39.31,41.14,40.78,25.16,51.94,47.79,49.88,50.19,35.34,45.85,45.81
Pbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdc45,3.54,3.88,3.04,1.67,1.9,4.21,1.91,5.03,6.97,1.97,3.32,1.96,6.41,6.12
H19,191.91,56.1,1.32,1.16,0.78,51.79,965.37,343.04,717.12,1.12,0.85,4.89,336.19,907.0
Scml2,0.65,0.55,0.32,0.26,0.14,0.72,0.37,1.15,1.19,0.12,0.37,0.08,1.36,1.87
Apoh,115.7,6.83,4.98,0.12,0.28,7.02,372.05,3.16,111.7,0.11,0.08,0.33,2.77,12.44
Narf,8.07,9.73,3.95,6.6,5.93,8.3,14.81,9.85,10.05,4.49,4.6,4.83,12.92,10.55
Cav2,14.93,16.37,9.11,13.44,12.68,12.58,12.42,8.97,8.55,27.21,7.39,9.61,7.51,10.1
Klf6,12.22,14.87,13.61,11.57,13.46,13.17,9.36,13.12,12.89,17.92,12.86,8.32,13.28,14.48
Scmh1,12.53,11.04,12.02,11.42,12.55,14.48,12.11,18.17,22.06,9.57,9.89,9.21,21.75,24.67
Cox5a,285.07,306.72,164.7,188.83,139.89,222.86,286.24,139.0,150.88,268.89,155.02,196.75,136.19,170.71
Tbx2,7.09,7.53,5.77,8.39,7.46,9.32,6.01,19.53,22.43,4.53,5.33,5.41,22.6,20.19
Tbx4,0.02,0.01,0.0,0.03,0.0,0.01,0.03,0.02,0.02,0.0,0.02,0.02,0.0,0.01
Zfy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Ngfr,1.5,3.81,1.34,1.65,1.5,1.68,2.6,3.64,5.42,1.11,0.63,1.26,7.27,6.26
Wnt3,0.04,0.01,0.01,0.05,0.06,0.03,0.01,0.04,0.04,0.18,0.01,0.0,0.15,0.09
Wnt9a,0.29,0.26,0.23,0.78,0.58,0.26,0.33,0.76,0.87,0.33,0.24,0.48,0.69,1.02
Fer,5.39,4.82,6.57,5.42,5.93,6.97,4.73,8.47,8.37,5.12,4.94,5.7,9.78,9.41
Xpo6,20.99,25.86,30.12,25.22,27.76,29.82,19.1,35.79,34.89,25.29,30.01,27.32,36.74,33.87
Tfe3,12.24,10.91,13.85,13.13,16.2,15.35,10.94,13.59,14.14,17.8,12.64,10.28,14.65,13.64
Axin2,8.55,11.46,10.57,13.63,14.25,11.32,10.04,18.16,18.7,17.58,11.13,11.68,17.45,17.53
Brat1,4.54,5.22,5.92,5.45,6.07,5.58,3.66,8.84,8.48,3.97,4.49,6.04,8.65,8.54
Gna12,30.83,31.08,33.57,35.1,36.4,36.66,28.46,47.47,47.42,33.28,37.38,36.13,47.93,49.22
Slc22a18,3.05,0.49,1.27,0.44,0.48,0.44,10.22,1.04,2.48,0.6,2.02,1.09,1.98,0.97
Itgb2l,0.08,0.06,0.0,0.0,0.0,0.12,0.02,0.17,0.78,0.0,0.0,0.0,0.36,0.35
Igsf5,0.72,0.32,0.57,0.28,0.38,0.66,2.07,1.51,1.73,0.43,0.55,0.24,3.04,0.78
Igsf5,0.72,0.32,0.57,0.28,0.38,0.66,2.07,1.51,1.73,0.43,0.55,0.24,3.04,0.78
Pih1d2,0.52,0.42,0.52,0.98,0.82,0.47,0.44,0.72,1.03,0.38,0.64,0.91,1.31,0.97
Dlat,67.92,74.24,43.16,46.33,42.16,54.32,58.31,39.67,43.3,100.16,49.55,56.01,41.62,44.44
Sdhd,152.52,147.44,72.59,96.53,75.05,121.6,152.99,86.77,96.38,129.57,78.43,91.32,90.03,102.05
Fgf23,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02
Fgf6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.24,0.0,0.0,0.01,0.04,0.19
Ccnd2,56.38,54.83,148.63,150.22,164.9,58.45,37.92,107.84,98.48,147.3,144.24,174.89,95.35,112.33
Gpr107,12.62,12.82,16.68,16.16,18.02,15.08,10.4,22.63,22.26,16.47,18.18,16.0,24.4,20.67
Nalcn,1.37,1.31,1.75,1.83,1.6,1.57,0.72,2.41,2.71,2.26,1.95,2.06,3.15,2.98
Btbd17,0.0,0.02,0.0,0.02,0.1,0.02,0.0,0.26,0.21,0.01,0.0,0.0,0.18,0.12
Slfn4,0.06,0.08,0.05,0.05,0.05,0.03,0.03,0.08,0.21,0.04,0.02,0.05,0.11,0.19
Th,130.87,133.06,209.58,395.08,333.58,174.05,65.45,219.0,189.88,178.76,165.1,231.84,188.63,237.11
Ins2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.28,0.0,0.08,0.0,386.96,0.0
Scnn1g,0.01,0.01,0.0,0.04,0.08,0.02,0.01,0.25,0.08,0.01,0.0,0.02,1.86,0.22
Drp2,0.11,0.14,0.15,0.12,0.08,0.11,0.08,0.21,0.48,0.1,0.09,0.14,0.38,0.52
Tspan32,0.53,2.29,0.12,0.18,0.33,0.54,0.37,0.26,0.93,0.39,0.15,0.14,0.53,0.73
Lhx2,0.28,0.11,0.02,0.0,0.0,0.03,0.86,0.03,0.42,0.01,0.0,0.0,0.14,0.08
Clec2g,1.21,1.61,0.7,1.21,0.94,0.87,1.28,1.72,0.96,1.42,0.73,0.56,0.59,1.12
