gene_name,HC_14_M_1,HC_14_M_2,HC_14_F_1,HC_14_F_2,C_2m_M_1,C_2m_M_2,C_14_F_2,C_14_F_1,C_2m_F_2,C_2m_F_1,HC_2m_M_1,HC_2m_M_2,HC_2m_F_1,HC_2m_F_2,C_14_M_2,C_14_M_1
Gnai3,15.98,17.62,19.27,16.91,10.94,11.88,16.15,14.66,12.23,12.5,11.42,10.96,11.8,11.1,14.18,14.35
Pbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdc45,1.1,1.79,1.83,1.14,0.65,1.13,1.45,1.19,0.58,0.73,0.94,0.95,1.04,1.09,1.24,1.57
H19,1.46,0.77,1.35,1.32,0.09,0.24,1.86,1.28,0.21,0.48,0.05,0.07,0.2,0.48,1.04,0.65
Scml2,0.38,0.7,0.45,0.67,0.53,0.35,0.58,0.43,1.07,0.65,0.38,0.5,0.68,0.33,0.3,0.37
Apoh,0.78,0.16,0.16,0.4,0.76,0.52,0.18,0.13,0.33,0.18,0.41,0.89,0.38,0.32,0.18,0.19
Narf,31.64,28.9,31.92,33.82,21.65,21.6,31.91,32.93,16.78,19.22,19.58,14.87,19.33,16.57,32.17,31.65
Cav2,10.88,11.67,10.24,9.67,16.37,14.34,12.67,12.88,14.48,14.14,9.0,11.09,8.52,8.5,12.69,9.4
Klf6,16.03,13.91,12.96,11.57,25.91,24.33,28.24,23.51,20.96,22.23,10.18,10.35,9.87,10.66,26.27,26.24
Scmh1,46.87,50.5,48.8,45.32,40.26,36.63,61.68,55.69,39.14,39.22,35.81,33.82,34.21,36.04,55.93,56.14
Cox5a,195.11,208.69,206.86,191.41,189.55,194.22,227.73,234.49,160.14,178.15,153.08,150.96,143.62,145.23,234.64,211.44
Tbx2,1.38,1.37,1.18,1.28,0.98,0.85,1.7,1.51,0.87,0.61,0.66,0.65,0.69,0.59,1.33,1.66
Tbx4,0.1,0.13,0.23,0.14,0.05,0.02,0.29,0.23,0.08,0.09,0.09,0.06,0.05,0.05,0.27,0.09
Zfy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ngfr,0.86,0.96,1.08,0.63,0.69,0.41,0.95,0.46,0.55,0.51,0.52,0.67,0.58,0.52,0.43,1.94
Wnt3,1.23,0.77,0.87,1.17,0.56,0.53,0.39,0.8,0.51,0.54,0.55,0.51,0.46,0.58,0.38,0.46
Wnt9a,1.57,2.15,1.78,2.39,8.35,8.71,8.1,8.45,5.22,6.51,1.56,2.58,1.14,1.47,9.08,6.13
Fer,13.83,14.4,14.1,12.87,14.5,13.63,14.12,15.38,12.85,13.75,13.38,13.0,12.7,13.62,14.18,13.34
Xpo6,39.74,45.34,44.41,43.28,42.18,44.87,46.26,47.78,39.65,42.11,37.57,37.64,34.18,35.6,48.24,48.21
Tfe3,14.44,14.2,13.78,11.92,13.9,13.63,17.64,14.89,15.01,14.86,11.82,11.3,14.7,13.7,16.34,14.52
Axin2,11.79,11.93,12.42,12.32,16.04,17.08,19.76,16.53,14.55,15.38,12.65,11.98,12.08,12.77,13.86,15.37
Brat1,11.29,11.39,11.5,10.8,8.72,9.4,12.94,11.28,8.45,9.07,8.21,8.16,8.08,8.23,11.3,12.52
Gna12,37.2,42.31,41.68,41.52,29.62,27.47,34.9,38.68,28.93,27.78,31.9,32.46,30.25,31.46,31.02,30.43
