gene_name,L_15_1,L_15_2,L_16_1,L_16_2,L_13_1,L_13_2,L_11_2,L_11_1,L_12_1,L_12_2
Gnai3,57.73,55.04,63.11,59.25,58.8,71.95,131.05,106.4,76.94,74.39
Pbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdc45,37.04,35.32,32.97,28.48,40.07,44.44,59.15,48.64,45.48,46.76
H19,536.21,447.09,503.78,594.44,357.3,320.31,340.88,438.91,274.34,280.07
Scml2,0.48,0.51,0.39,0.54,0.59,0.75,2.11,1.47,1.28,1.1
Apoh,637.99,511.42,829.8,958.06,111.37,127.32,8.13,6.34,30.75,30.36
Narf,118.37,101.94,102.19,100.34,87.39,101.22,68.79,59.42,101.58,100.15
Cav2,2.56,2.43,2.79,2.56,2.08,2.9,2.61,2.75,2.72,2.68
Klf6,18.48,17.86,16.47,18.22,18.05,19.82,19.76,22.99,22.04,20.62
Scmh1,10.69,11.11,8.62,8.15,11.12,11.44,17.39,24.67,16.77,17.93
Cox5a,215.97,249.31,235.03,225.53,357.42,371.54,408.75,378.39,370.61,347.32
Tbx2,0.49,0.39,0.15,0.22,0.22,0.23,2.07,2.3,0.93,1.15
Tbx4,0.01,0.02,0.01,0.01,0.05,0.04,0.61,0.63,0.1,0.29
Zfy2,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ngfr,2.77,2.34,2.01,1.89,1.52,2.34,8.53,8.35,3.99,4.95
Wnt3,0.0,0.0,0.0,0.0,0.04,0.09,0.33,0.34,0.03,0.1
Wnt9a,0.29,0.17,0.19,0.27,0.19,0.34,0.63,0.41,0.27,0.42
Fer,6.76,6.96,6.65,6.43,8.11,10.74,20.16,18.04,14.32,12.23
Xpo6,18.1,14.16,10.45,15.02,16.89,17.74,45.18,43.54,33.38,31.74
Tfe3,10.23,7.97,8.17,9.65,7.71,8.72,12.3,11.6,11.83,12.59
Axin2,0.33,0.09,0.09,0.14,0.37,0.44,1.29,1.69,0.34,0.71
Brat1,6.49,6.25,6.19,6.64,6.93,7.11,14.39,12.36,10.22,8.84
Gna12,16.37,12.24,1.65,2.07,6.09,4.57,19.29,22.7,28.33,28.27
Slc22a18,14.12,11.19,11.15,12.16,5.82,5.37,2.17,3.81,4.31,3.77
Itgb2l,6.03,5.04,5.82,7.15,0.74,0.49,0.78,0.22,0.48,0.58
Igsf5,3.24,2.25,3.24,3.77,1.49,1.63,0.64,0.38,0.89,1.13
Igsf5,3.24,2.25,3.24,3.77,1.49,1.63,0.64,0.38,0.89,1.13
Pih1d2,0.65,0.89,0.77,0.47,1.86,1.53,3.26,2.38,1.62,2.01
Dlat,20.17,21.39,18.52,19.07,29.23,39.04,64.42,56.38,39.55,40.03
Sdhd,280.11,257.22,272.73,261.12,304.02,319.3,410.03,366.56,295.03,287.76
Fgf23,0.0,0.01,0.0,0.0,0.0,0.0,0.1,0.22,0.02,0.02
Fgf6,0.05,0.01,0.03,0.0,0.02,0.01,0.0,0.06,0.0,0.0
Ccnd2,41.57,41.31,35.27,39.09,94.99,111.75,210.17,200.85,114.21,123.33
Gpr107,9.99,9.01,9.88,10.09,10.23,12.14,16.59,12.62,16.17,15.73
Nalcn,0.01,0.01,0.0,0.03,0.03,0.02,0.1,0.05,0.0,0.0
Btbd17,0.22,0.09,0.03,0.0,0.06,0.11,0.33,0.07,0.04,0.01
Slfn4,1.02,0.76,1.03,0.84,0.05,0.07,0.0,0.0,0.0,0.01
Th,0.14,0.08,0.05,0.3,0.06,0.05,0.22,0.19,0.29,0.03
Ins2,2.42,1.89,0.87,18.32,0.07,0.4,0.0,0.0,0.0,0.0
Scnn1g,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drp2,0.13,0.08,0.08,0.1,0.06,0.17,0.32,0.38,0.13,0.26
Tspan32,71.35,69.74,59.54,60.41,86.43,77.19,90.99,84.1,88.75,87.6
Lhx2,1.61,1.31,0.97,1.51,2.55,2.32,8.09,8.01,7.21,6.86
Clec2g,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.03,0.0,0.0
Gmpr,236.92,229.84,188.64,179.85,305.64,305.68,169.8,146.03,306.56,304.66
Glra1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Mid2,0.44,0.31,0.19,0.34,0.14,0.35,0.67,1.02,0.66,0.42
Trim25,16.98,17.76,15.66,18.4,15.66,17.76,15.89,15.41,21.74,19.33
Dgke,0.54,0.35,0.4,0.58,0.6,0.71,1.39,1.39,1.33,1.45
Scpep1,43.5,41.55,41.6,40.22,35.07,40.67,45.76,41.85,35.38,33.81
Mnt,1.29,1.24,0.77,1.02,1.33,1.16,3.04,2.58,1.56,1.69
Itgb2,16.08,14.86,15.54,17.45,8.9,9.24,14.73,13.55,11.67,11.25
Hddc2,9.46,11.37,8.07,7.79,22.97,22.31,48.7,43.19,26.62,24.17
Tpd52l1,0.54,0.76,0.54,0.81,1.29,1.36,3.88,4.73,1.89,1.96
Pemt,36.03,20.41,36.86,53.58,6.64,6.82,9.73,6.89,6.14,6.73
Cdh1,20.18,16.49,19.6,22.43,10.46,14.93,9.07,8.04,9.59,8.92
Cdh4,0.27,0.25,0.47,0.34,0.24,0.14,0.6,0.37,0.17,0.25
Ckmt1,0.59,0.4,0.02,4.06,0.17,0.31,1.3,1.23,0.09,0.13
Bcl6b,1.88,1.79,1.76,1.97,1.38,1.57,5.61,4.93,2.32,3.2
Clec10a,0.52,0.34,0.55,0.53,0.28,0.23,0.41,0.3,0.12,0.28
Alox12,12.57,11.95,11.1,12.56,16.96,18.65,16.52,16.38,22.49,20.64
Arvcf,8.12,6.62,7.1,7.27,6.59,6.84,11.9,10.1,10.55,10.75
Comt,81.69,76.1,74.33,72.07,95.41,93.9,108.14,103.14,100.35,94.33
Rtca,21.17,21.81,17.89,16.87,34.99,37.39,54.51,49.0,40.04,38.9
Dbt,13.98,12.32,17.06,16.42,7.93,10.23,13.74,12.61,9.27,9.59
Dazap2,128.24,126.07,112.2,123.72,122.63,149.45,211.02,186.83,136.31,139.62
Mcts1,28.15,35.41,33.9,26.65,47.81,54.23,66.67,61.7,47.64,47.5
Rem1,0.94,0.5,0.9,0.92,0.77,0.82,0.9,1.2,1.13,1.21
Rnf17,0.87,0.73,0.9,0.48,2.11,2.72,5.78,5.76,3.51,3.32
Trappc10,13.67,13.78,3.64,5.04,13.73,13.46,10.98,9.67,18.37,20.46
Ccm2,38.16,34.85,29.52,30.54,40.04,39.57,57.35,59.89,50.3,48.39
Wap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tbrg4,28.92,26.96,23.29,24.24,40.11,39.81,79.68,68.76,58.09,57.92
Tmprss2,3.93,4.12,3.63,3.78,2.14,2.82,1.92,2.2,1.65,2.03
Mx1,0.2,0.25,0.17,0.33,0.58,0.22,0.29,0.48,0.17,0.22
Fap,0.57,0.47,0.37,0.29,0.35,0.47,0.77,0.81,0.55,0.99
Gcg,0.05,0.04,0.07,0.24,0.0,0.11,8.38,4.61,0.46,0.3
Ndufa9,115.93,120.24,125.89,112.16,152.96,166.49,179.84,166.34,141.39,140.18
Egfl6,0.69,0.77,0.52,0.57,0.92,0.85,2.18,1.69,0.9,1.43
Lck,2.08,2.85,2.72,2.64,3.33,3.06,4.62,3.99,4.3,3.43
Tssk3,0.1,0.08,0.02,0.11,0.06,0.0,0.04,0.0,0.0,0.06
Cttnbp2,0.73,0.64,1.16,0.93,1.19,1.63,3.44,3.29,1.78,1.21
Galnt1,38.92,38.48,16.11,18.22,41.14,47.8,48.28,40.23,55.54,61.55
Myf5,0.11,0.26,0.15,0.13,0.27,0.3,1.71,1.19,0.08,0.43
Mkrn2,7.32,7.47,7.33,6.62,9.86,10.4,19.32,15.67,12.86,12.08
Pparg,1.27,1.51,1.32,1.45,1.04,1.12,0.87,0.85,1.14,0.95
Raf1,33.51,31.35,31.47,33.31,28.48,33.09,54.42,51.14,44.64,43.83
Sept1,8.13,8.43,8.68,9.37,8.52,8.35,11.48,12.75,8.89,11.41
Pdgfb,0.58,0.44,0.4,0.34,0.66,0.54,1.87,1.95,1.85,1.36
Acvrl1,2.27,1.21,2.0,2.69,1.11,1.03,1.95,1.82,1.52,1.51
Grasp,0.4,0.32,0.31,0.46,0.38,0.25,1.34,1.13,0.68,1.11
Acvr1b,1.72,1.43,1.7,1.79,0.91,1.42,3.39,3.09,1.81,1.56
Tom1l2,5.06,4.61,4.89,5.74,4.46,4.0,9.84,9.21,8.09,7.24
Gpa33,0.08,0.06,0.0,0.34,0.02,0.15,0.0,0.0,0.01,0.07
Zfp385a,5.77,5.25,4.68,5.89,3.96,5.05,17.88,18.06,6.87,6.45
Itga5,16.61,13.82,15.76,16.62,11.22,13.64,27.29,26.03,19.5,18.25
Gabra2,0.03,0.03,0.0,0.04,0.01,0.05,0.16,0.41,0.13,0.1
Wdr77,35.68,34.58,30.71,29.7,57.07,59.65,128.34,112.46,75.46,72.42
Adora3,0.71,0.56,0.41,0.65,0.38,0.44,0.71,0.26,0.14,0.33
Atp5f1,248.35,267.5,266.45,242.9,339.86,389.56,393.89,364.3,308.56,307.71
Sox9,1.01,0.73,0.94,1.17,0.92,1.34,8.31,8.52,2.04,2.29
Hnrnpd,65.13,61.24,15.84,15.24,72.95,94.33,115.54,111.2,205.37,212.14
Dynlt1c,6.02,5.73,8.0,7.23,5.58,4.31,12.82,14.75,8.48,6.77
C1d,31.33,33.32,35.27,29.15,47.72,54.53,77.39,66.96,47.44,47.23
