SampleID,Sample,Strain,Tissue,Timepoint,Sex,Replicate
ENCFF641WAC,HC_14_F_1,B6CASTF1/J,Hippocampus,PND_14,Female,1
ENCFF330YJL,HC_14_F_2,B6CASTF1/J,Hippocampus,PND_14,Female,2
ENCFF250LIY,HC_2m_M_1,B6CASTF1/J,Hippocampus,PNM_02,Male,1
ENCFF385EGO,HC_2m_M_2,B6CASTF1/J,Hippocampus,PNM_02,Male,2
ENCFF231OXS,HC_14_M_1,B6CASTF1/J,Hippocampus,PND_14,Male,1
ENCFF298KID,HC_14_M_2,B6CASTF1/J,Hippocampus,PND_14,Male,2
ENCFF987LTZ,HC_2m_F_1,B6CASTF1/J,Hippocampus,PNM_02,Female,1
ENCFF802PHC,HC_2m_F_2,B6CASTF1/J,Hippocampus,PNM_02,Female,2
ENCFF404SAA,C_2m_F_1,B6CASTF1/J,Cortex,PNM_02,Female,1
ENCFF806DOB,C_2m_F_2,B6CASTF1/J,Cortex,PNM_02,Female,2
ENCFF894GZG,C_2m_M_1,B6CASTF1/J,Cortex,PNM_02,Male,1
ENCFF062FKP,C_2m_M_2,B6CASTF1/J,Cortex,PNM_02,Male,2
ENCFF820VTQ,C_14_M_1,B6CASTF1/J,Cortex,PND_14,Male,1
ENCFF667BNZ,C_14_M_2,B6CASTF1/J,Cortex,PND_14,Male,2
ENCFF455XPL,C_14_F_1,B6CASTF1/J,Cortex,PND_14,Female,1
ENCFF585AWT,C_14_F_2,B6CASTF1/J,Cortex,PND_14,Female,2
ENCFF634BLK,A_2m_M_1,B6CASTF1/J,Adrenal,PNM_02,Male,1
ENCFF033DXE,A_2m_M_2,B6CASTF1/J,Adrenal,PNM_02,Male,2
ENCFF346PFG,A_4_F_1,B6CASTF1/J,Adrenal,PND_04,Female,1
ENCFF628PHU,A_4_F_2,B6CASTF1/J,Adrenal,PND_04,Female,2
ENCFF683HUO,A_2m_F_1,B6CASTF1/J,Adrenal,PNM_02,Female,1
ENCFF883HID,A_2m_F_2,B6CASTF1/J,Adrenal,PNM_02,Female,2
ENCFF994FNZ,A_14_F_1,B6CASTF1/J,Adrenal,PND_14,Female,1
ENCFF494ELZ,A_14_F_2,B6CASTF1/J,Adrenal,PND_14,Female,2
ENCFF104BHG,A_18m_F_1,B6CASTF1/J,Adrenal,PNM_18,Female,1
ENCFF288KSK,A_18m_F_2,B6CASTF1/J,Adrenal,PNM_18,Female,2
ENCFF873AYF,A_14_M_1,B6CASTF1/J,Adrenal,PND_14,Male,1
ENCFF623IZD,A_14_M_2,B6CASTF1/J,Adrenal,PND_14,Male,2
ENCFF890GTZ,A_18m_M_1,B6CASTF1/J,Adrenal,PNM_18,Male,1
ENCFF895AMS,A_4_M_1,B6CASTF1/J,Adrenal,PND_04,Male,1
ENCFF273CWW,A_4_M_2,B6CASTF1/J,Adrenal,PND_04,Male,2
ENCFF692XOT,C_5xFAD_8m_F_2,5xFAD/CAST,Cortex,PNM_08,Female,2
ENCFF907UUI,C_5xFAD_8m_F_1,5xFAD/CAST,Cortex,PNM_08,Female,1
ENCFF120SZB,C_5xFAD_8m_M_1,5xFAD/CAST,Cortex,PNM_08,Male,1
ENCFF076AUQ,C_5xFAD_8m_M_2,5xFAD/CAST,Cortex,PNM_08,Male,2
ENCFF917MSR,HC_5xFAD_8m_M_1,5xFAD/CAST,Hippocampus,PNM_08,Male,1
ENCFF315QLH,HC_5xFAD_8m_M_2,5xFAD/CAST,Hippocampus,PNM_08,Male,2
ENCFF291BHA,HC_5XFAD_8m_F_1,5xFAD/CAST,Hippocampus,PNM_08,Female,1
ENCFF006EWX,HC_5xFAD_8m_F_2,5xFAD/CAST,Hippocampus,PNM_08,Female,2
ENCFF461HYK,HC_B6_8m_F_1,B6CASTF1/J,Hippocampus,PNM_08,Female,1
ENCFF785NIB,HC_B6_8m_F_2,B6CASTF1/J,Hippocampus,PNM_08,Female,2
ENCFF751WSF,C_B6_8m_M1,B6CASTF1/J,Cortex,PNM_08,Male,1
ENCFF707MBR,C_B6_8m_M2,B6CASTF1/J,Cortex,PNM_08,Male,2
ENCFF760XUJ,HC_B6_8m_M1,B6CASTF1/J,Hippocampus,PNM_08,Male,1
ENCFF278OSU,HC_B6_8m_M2,B6CASTF1/J,Hippocampus,PNM_08,Male,2
ENCFF439FAY,C_B6_8m_F_1,B6CASTF1/J,Cortex,PNM_08,Female,1
ENCFF494NWW,C_B6_8m_F_2,B6CASTF1/J,Cortex,PNM_08,Female,2
ENCFF726EGO,L_15_1,B6J,Liver,E_15.5,NA,1
ENCFF979TLF,L_15_2,B6J,Liver,E_15.5,NA,2
ENCFF760EZS,L_16_1,B6J,Liver,E_16.5,NA,1
ENCFF620ZGA,L_16_2,B6J,Liver,E_16.5,NA,2
ENCFF971KKK,L_13_1,B6J,Liver,E_13.5,NA,1
ENCFF042DVY,L_13_2,B6J,Liver,E_13.5,NA,2
ENCFF414APX,L_11_2,B6J,Liver,E_11.5,NA,2
ENCFF557PQT,L_11_1,B6J,Liver,E_11.5,NA,1
ENCFF173NFQ,L_12_1,B6J,Liver,E_12.5,NA,1
ENCFF144DHB,L_12_2,B6J,Liver,E_12.5,NA,2
