gene_name,C_5xFAD_8m_F_2,C_5xFAD_8m_F_1,C_5xFAD_8m_M_1,C_5xFAD_8m_M_2,HC_5xFAD_8m_M_1,HC_5xFAD_8m_M_2,HC_5XFAD_8m_F_1,HC_5xFAD_8m_F_2,HC_B6_8m_F_1,HC_B6_8m_F_2,C_B6_8m_M1,C_B6_8m_M2,HC_B6_8m_M1,HC_B6_8m_M2,C_B6_8m_F_1,C_B6_8m_F_2
Gnai3,11.4,10.43,10.63,12.3,13.79,13.71,11.93,12.09,15.06,13.05,14.09,11.65,14.47,13.0,13.63,11.84
Pbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdc45,0.94,1.13,0.79,0.99,0.64,0.67,0.78,0.99,0.99,1.5,0.72,0.94,1.69,1.32,1.11,1.39
H19,0.11,0.14,0.11,0.47,0.58,0.52,0.4,0.7,0.24,0.14,0.29,0.15,0.07,0.05,0.22,0.38
Scml2,0.5,0.41,0.34,0.25,0.4,0.44,0.46,0.4,0.41,0.4,0.19,1.01,0.88,0.31,0.33,0.64
Apoh,0.28,0.21,0.33,0.21,0.95,0.24,0.28,0.36,0.44,0.26,0.31,0.19,0.46,0.34,0.25,0.63
Narf,19.4,18.17,20.19,19.31,17.34,19.75,15.41,18.88,28.64,27.5,25.48,26.32,35.0,25.09,27.55,29.26
Cav2,13.81,13.52,13.22,13.67,13.04,15.39,14.78,14.14,9.38,11.85,12.24,15.76,14.7,14.98,15.31,16.91
Klf6,23.32,22.77,19.81,22.0,15.16,15.32,19.41,16.7,15.44,15.41,23.83,23.31,15.03,13.76,22.98,24.49
Scmh1,37.74,33.7,34.92,37.49,36.12,40.76,34.97,33.58,38.02,42.78,43.78,45.74,45.25,36.57,35.83,41.39
Cox5a,162.94,155.86,170.13,180.12,142.56,157.48,150.76,151.59,181.48,183.01,175.46,180.0,186.72,188.35,208.48,187.6
Tbx2,0.97,0.99,1.14,0.9,0.81,0.85,0.79,0.86,0.66,0.72,0.6,0.93,0.7,0.72,0.45,0.86
Tbx4,0.14,0.07,0.08,0.09,0.08,0.05,0.0,0.06,0.08,0.1,0.08,0.0,0.07,0.07,0.12,0.06
Zfy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ngfr,2.1,1.72,2.49,2.09,2.45,1.19,1.23,1.21,0.94,1.37,1.36,1.62,0.93,1.12,1.6,1.16
Wnt3,0.99,0.93,1.16,0.66,0.59,0.61,1.27,0.87,0.45,1.05,0.76,0.6,0.48,0.64,0.91,1.25
Wnt9a,6.6,6.95,6.87,6.19,3.43,2.66,3.4,3.22,1.47,4.82,4.57,6.67,1.45,2.61,4.73,7.37
Fer,13.06,12.7,12.26,13.42,14.4,13.76,13.94,13.82,16.69,17.73,13.88,15.49,16.52,16.68,15.47,14.77
Xpo6,42.63,39.24,35.73,42.06,42.63,43.19,42.34,39.18,46.32,49.81,43.48,47.73,49.03,45.6,44.31,42.03
Tfe3,15.05,18.02,14.25,15.47,16.8,14.5,15.1,15.33,15.4,15.92,13.66,15.84,16.14,15.97,15.02,17.03
Axin2,16.87,14.71,16.64,15.9,12.09,13.8,15.39,13.03,17.26,14.62,14.59,16.96,16.64,13.57,15.18,19.3
Brat1,8.59,9.48,7.72,9.24,9.96,10.83,8.65,9.7,10.67,10.57,7.91,9.65,9.66,9.7,6.97,9.93
Gna12,35.88,37.26,38.14,35.92,42.3,40.12,47.56,44.78,40.94,37.55,40.09,39.45,44.25,43.81,43.38,39.92
Slc22a18,0.79,0.94,0.66,0.47,0.77,0.64,0.87,0.63,0.32,0.15,0.07,0.64,0.11,0.52,0.43,0.37
Itgb2l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Igsf5,0.52,0.23,0.29,0.18,0.82,0.27,0.21,0.56,0.07,0.22,0.88,0.33,0.24,0.26,0.11,0.39
Igsf5,0.52,0.23,0.29,0.18,0.82,0.27,0.21,0.56,0.07,0.22,0.88,0.33,0.24,0.26,0.11,0.39
Pih1d2,1.5,1.84,1.48,1.32,2.36,2.54,1.68,2.72,1.32,2.3,2.65,2.0,2.81,2.57,1.09,1.1
Dlat,50.6,41.7,40.37,48.26,47.63,52.33,51.27,52.12,66.63,71.48,53.89,54.4,64.84,61.42,57.12,58.46
Sdhd,44.1,45.42,45.39,46.32,42.59,47.96,43.3,48.28,60.94,52.36,51.06,51.36,58.31,53.88,55.55,53.69
Fgf23,0.03,0.44,0.16,0.31,0.29,0.0,0.06,0.16,0.06,0.2,0.1,0.18,0.21,0.25,0.06,0.4
Fgf6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.05
Ccnd2,31.83,25.92,32.55,27.58,33.05,44.5,41.25,51.11,63.17,53.98,38.7,33.11,60.86,49.97,41.12,41.07
Gpr107,20.86,20.16,17.05,20.6,25.86,21.69,21.6,23.02,28.93,28.9,22.51,25.53,32.21,25.26,22.5,22.56
Nalcn,29.41,26.59,25.52,28.2,29.6,27.17,26.14,27.2,33.84,33.61,31.16,34.74,34.72,32.57,32.98,34.01
Btbd17,10.11,9.45,10.41,9.43,6.84,8.04,7.34,6.73,9.5,8.53,12.12,13.03,8.25,8.75,14.5,10.75
Slfn4,0.03,0.06,0.05,0.0,0.0,0.04,0.03,0.05,0.0,0.04,0.0,0.01,0.02,0.0,0.0,0.06
Th,1.03,0.88,0.88,1.16,0.89,0.29,0.3,0.39,0.2,0.49,1.18,2.27,0.19,0.12,0.94,1.18
Ins2,0.0,0.13,0.43,0.0,0.62,0.32,0.0,0.0,0.13,0.16,1.07,0.0,0.0,0.3,0.0,0.0
Scnn1g,0.14,0.02,0.06,0.09,0.1,0.14,0.16,0.15,0.11,0.29,0.08,0.13,0.25,0.09,0.06,0.18
Drp2,18.2,17.58,19.9,23.22,19.09,19.86,14.58,13.27,18.92,19.83,24.59,23.7,23.58,20.13,18.98,23.97
Tspan32,0.14,0.08,0.57,0.08,0.32,0.31,0.21,0.33,0.0,0.04,0.15,0.2,0.0,0.04,0.16,0.12
Lhx2,24.67,24.27,26.93,24.38,30.57,30.34,27.69,29.55,39.12,34.75,30.0,28.39,41.58,37.77,30.71,28.16
Clec2g,0.26,0.37,0.28,0.23,0.46,0.46,0.24,0.14,0.08,0.0,0.2,0.55,0.34,0.17,0.15,0.08
Gmpr,25.07,22.98,24.01,25.4,28.75,30.81,25.36,33.82,31.82,36.73,25.02,27.21,32.04,32.29,25.87,26.56
Glra1,0.82,1.25,0.79,0.99,0.74,0.13,0.49,0.21,0.28,0.2,1.14,1.63,0.27,0.25,0.92,0.95
Mid2,13.64,11.9,13.83,14.34,13.7,11.44,8.62,9.49,10.1,10.78,13.7,15.33,12.95,10.59,13.17,14.66
Trim25,2.7,3.67,2.29,2.4,3.28,2.63,4.08,3.2,1.59,1.93,1.79,2.11,1.71,2.43,1.29,2.81
Dgke,21.65,21.72,19.78,22.54,19.42,20.67,18.7,20.19,23.11,26.8,22.9,25.35,25.22,23.63,24.37,28.51
Scpep1,11.14,11.88,9.87,11.0,10.41,9.98,10.5,10.88,8.48,8.22,8.14,8.66,7.78,7.4,9.27,8.84
Mnt,15.06,15.83,13.75,15.95,16.59,16.91,15.56,18.27,16.16,14.88,13.19,14.95,16.21,14.74,14.71,14.87
Itgb2,8.78,10.79,6.0,5.5,10.65,11.53,15.0,15.91,2.3,1.72,1.45,1.73,1.85,1.7,1.03,2.53
Hddc2,8.59,8.2,8.33,8.79,12.05,10.97,8.27,10.31,9.74,11.6,7.17,9.97,8.64,11.8,8.31,10.27
Tpd52l1,13.4,10.56,13.57,10.87,14.07,14.33,15.87,13.96,15.09,15.88,14.09,13.7,14.66,16.74,11.21,12.46
Pemt,2.22,2.3,2.17,2.7,3.24,2.58,3.35,3.45,1.46,2.33,1.49,1.55,3.3,1.28,1.9,1.3
Cdh1,1.02,0.62,0.88,1.29,0.98,0.51,0.74,0.5,1.43,0.3,0.88,0.88,0.64,0.5,0.9,1.1
Cdh4,8.93,11.87,8.79,10.79,6.51,3.58,4.37,3.69,4.87,4.52,10.43,11.93,4.77,4.24,12.28,11.66
Ckmt1,180.1,170.95,169.23,185.77,159.24,185.56,164.93,169.5,213.23,194.47,197.33,195.33,227.13,217.84,190.02,201.89
Bcl6b,0.44,0.51,0.87,0.8,0.35,0.41,0.61,0.4,0.91,0.52,1.0,1.02,0.48,0.45,1.61,0.89
Clec10a,1.19,1.49,0.64,1.18,0.49,0.49,1.42,0.81,0.66,0.98,1.86,0.44,0.75,0.89,0.32,1.57
Alox12,0.24,0.29,0.25,0.1,0.27,0.16,0.16,0.17,0.08,0.37,0.19,0.25,0.2,0.36,0.18,0.39
Arvcf,18.12,18.58,20.23,16.63,18.07,17.88,18.19,15.59,20.86,15.78,17.94,17.65,25.78,17.23,19.48,16.19
Comt,40.17,42.41,42.09,40.7,36.4,35.94,37.63,34.99,35.92,37.71,42.49,43.77,33.0,34.89,44.24,46.01
Rtca,24.42,22.95,23.25,26.69,26.14,27.82,22.47,24.3,29.32,30.39,29.41,27.9,29.48,31.6,27.84,27.22
Dbt,7.89,8.14,6.28,7.11,8.87,10.32,8.93,7.66,9.11,8.99,10.72,6.46,8.09,10.81,7.3,7.3
Dazap2,52.1,54.73,52.78,55.36,57.59,54.11,56.78,59.19,52.35,49.78,51.29,54.02,52.06,55.27,53.79,58.0
Mcts1,32.48,30.58,29.34,33.34,33.6,42.01,33.82,34.6,43.05,42.48,33.39,36.97,42.07,39.61,30.88,36.98
Rem1,0.69,0.69,0.56,0.56,0.41,0.35,0.77,0.29,0.53,0.4,0.37,0.4,0.3,0.3,0.48,0.41
Rnf17,0.79,0.47,0.21,0.41,0.9,0.38,0.49,0.9,0.33,0.84,0.61,0.87,0.41,0.36,0.21,0.89
Trappc10,36.27,36.14,35.15,37.73,32.76,35.81,33.95,32.59,45.02,42.64,39.55,41.86,46.97,40.2,41.76,42.22
Ccm2,28.24,30.49,28.08,26.64,23.88,23.45,19.91,20.84,26.14,27.62,37.49,35.29,25.47,26.89,33.94,37.44
Wap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tbrg4,23.98,19.74,20.64,21.88,20.54,23.43,20.89,20.01,23.91,24.8,21.75,19.66,23.38,20.41,19.88,20.68
Tmprss2,0.0,0.0,0.03,0.15,0.01,0.0,0.08,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.15
Mx1,3.21,2.17,1.49,1.56,2.22,3.33,4.95,3.32,0.35,0.49,0.43,0.79,0.49,0.16,0.27,0.54
Fap,1.68,1.3,1.7,1.56,0.48,0.53,1.35,0.32,0.47,0.57,2.25,2.33,0.23,1.63,1.24,2.14
Gcg,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ndufa9,69.12,61.64,65.17,74.28,65.17,64.71,60.12,66.87,80.31,77.39,69.56,73.38,75.07,76.48,78.16,73.32
Egfl6,0.9,1.13,1.0,1.24,1.19,1.23,1.49,1.44,1.75,1.55,1.27,0.84,2.34,1.43,1.38,1.1
Lck,1.93,2.3,1.07,1.56,0.99,2.1,0.97,1.82,1.17,1.93,0.89,1.84,1.51,1.87,0.75,1.07
Tssk3,0.26,0.04,0.14,0.23,0.05,0.13,0.09,0.11,0.12,0.14,0.05,0.18,0.06,0.0,0.19,0.18
Cttnbp2,65.86,52.9,48.34,67.78,99.16,113.0,90.24,99.96,121.04,123.05,63.55,57.06,132.65,90.35,50.34,60.12
Galnt1,20.64,26.2,17.48,20.36,22.79,19.08,22.84,23.08,21.7,21.56,21.65,22.84,23.0,25.73,24.18,24.7
Myf5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mkrn2,13.52,16.6,15.37,17.93,17.08,15.09,14.95,15.05,16.74,18.28,16.86,18.48,18.57,17.45,15.57,17.35
Pparg,3.01,2.51,2.03,3.32,0.93,1.69,1.73,0.85,2.16,2.57,3.85,3.73,1.68,3.34,2.96,3.47
Raf1,33.59,34.15,30.01,33.74,34.61,37.74,34.86,34.69,40.86,40.04,31.88,33.94,50.35,34.72,32.5,35.97
Sept1,3.05,2.78,2.03,2.51,3.45,3.51,2.74,3.37,3.1,3.19,2.04,1.43,1.18,2.22,1.36,2.41
Pdgfb,13.73,13.61,13.74,12.72,15.64,17.14,15.81,15.84,16.12,13.44,14.97,12.49,14.91,13.38,14.27,12.51
Acvrl1,8.13,7.27,6.25,8.66,6.17,6.62,6.34,6.6,7.98,6.56,9.6,8.69,6.92,6.85,8.33,11.89
Grasp,27.49,24.48,23.64,24.66,27.12,28.7,25.46,27.58,27.93,37.3,31.08,28.05,30.01,28.2,29.68,29.93
Acvr1b,43.14,43.83,39.68,47.31,33.25,36.42,32.68,35.72,46.54,43.69,46.61,51.01,43.83,43.1,45.36,55.84
Tom1l2,90.6,85.71,83.42,89.75,78.3,82.71,76.92,78.8,95.58,92.29,101.05,101.84,101.55,88.68,96.97,103.8
Gpa33,0.02,0.05,0.0,0.0,0.0,0.05,0.02,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfp385a,33.83,30.41,29.36,33.88,24.04,24.76,22.23,24.3,18.35,19.03,26.33,27.97,19.01,19.76,28.93,28.68
Itga5,3.08,3.2,2.38,2.54,2.04,1.49,2.87,2.11,0.89,0.8,2.79,2.77,1.21,0.8,1.65,2.68
Gabra2,32.3,32.43,30.64,32.77,53.77,54.98,50.93,57.05,76.37,63.28,41.64,41.21,72.09,64.38,41.01,35.04
Wdr77,23.37,19.86,21.28,23.74,23.21,24.79,22.32,23.36,20.96,29.55,21.04,20.66,24.97,25.4,21.9,24.17
Adora3,0.65,0.92,1.05,1.08,1.49,1.68,1.54,1.26,1.05,0.81,0.84,0.62,0.44,0.7,0.5,0.79
Atp5f1,108.76,103.21,105.36,117.84,97.99,111.72,101.27,104.09,126.47,127.58,110.09,113.88,122.15,122.59,121.11,124.12
Sox9,14.03,16.02,13.01,12.06,17.36,16.41,22.14,19.95,13.53,13.39,9.75,9.88,12.6,12.81,10.39,11.54
Hnrnpd,102.9,96.9,90.48,103.29,95.74,96.14,87.3,97.49,91.69,99.53,72.48,83.7,83.86,84.61,87.95,98.4
Dynlt1c,7.38,10.94,5.56,8.63,10.19,8.44,7.06,6.92,8.55,7.6,8.09,8.97,14.39,5.82,6.32,9.9
C1d,19.75,18.2,19.81,23.13,19.51,22.43,20.0,19.3,23.43,21.3,22.96,22.97,21.47,22.31,21.16,20.55
Gm2a,18.01,19.74,17.56,16.09,20.71,19.88,21.03,19.95,13.69,15.2,14.0,14.01,14.35,15.88,13.67,15.28
Krit1,22.09,19.53,16.86,20.11,22.5,22.8,20.12,20.43,28.63,26.29,25.4,22.23,34.82,20.28,22.04,22.91
Clcn4,54.44,54.42,55.05,54.55,52.83,52.89,57.57,56.69,62.61,62.82,56.66,60.32,58.64,61.21,64.6,63.4
Vmn2r88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grm6,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04
Sema4f,15.19,13.51,15.74,15.35,13.69,17.25,14.99,14.72,20.08,18.5,16.51,16.58,22.1,18.52,16.8,16.62
Hk2,3.44,2.86,2.21,1.91,5.42,6.42,6.54,5.37,3.41,5.18,1.52,1.61,2.74,2.79,1.78,1.43
Myo18a,74.98,71.56,58.0,69.15,64.15,66.55,67.45,68.64,66.06,64.31,73.13,62.63,72.69,55.6,58.27,62.95
Sez6,79.35,70.19,73.87,83.84,64.07,65.12,50.36,61.04,79.67,78.34,81.45,105.62,78.43,84.94,84.27,105.48
Haao,0.36,0.33,0.4,0.34,0.98,0.83,1.14,1.24,0.14,0.32,0.18,0.33,0.05,0.32,0.17,0.16
Cd52,14.01,15.6,8.13,9.21,18.37,14.96,18.69,23.06,0.57,0.82,1.24,1.14,1.37,1.02,2.14,2.18
Abhd15,0.72,0.72,0.59,0.68,0.71,1.09,1.11,0.89,0.54,0.53,0.71,0.67,0.5,0.88,0.43,0.47
Hoxb6,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.07,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.09
Loxl3,1.84,2.06,1.22,1.48,2.84,2.1,2.99,1.54,1.21,1.9,2.29,0.92,1.43,1.43,1.04,1.24
Tcl1b5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Btn1a1,0.03,0.03,0.0,0.04,0.0,0.02,0.02,0.01,0.01,0.0,0.06,0.02,0.0,0.13,0.02,0.06
Kat2b,7.22,7.46,8.62,15.45,12.23,7.43,8.76,6.76,11.12,14.33,9.18,10.61,14.59,11.62,12.68,12.06
Rab5b,58.57,55.9,56.8,57.3,54.75,58.98,55.17,58.4,73.02,64.67,63.47,65.72,67.5,72.53,65.08,63.77
Cryba1,0.0,0.0,0.06,0.07,0.08,0.0,0.0,0.0,0.14,0.0,0.08,0.0,0.0,0.08,0.0,0.0
Dnmt3l,0.33,0.15,0.0,0.04,0.36,0.32,0.16,0.13,0.14,0.62,0.06,0.0,0.1,0.26,0.23,0.67
Aire,0.1,0.22,0.22,0.16,0.41,0.25,0.2,0.41,0.32,0.43,0.08,0.1,0.29,0.33,0.25,0.46
Icosl,1.72,2.35,1.45,1.79,5.05,5.79,5.5,5.31,6.26,2.66,1.67,1.14,6.51,4.04,1.16,1.62
Spg7,28.07,26.06,22.08,29.01,26.19,28.62,29.72,26.7,25.1,30.45,24.18,28.2,30.03,29.88,22.45,25.66
Sult5a1,0.16,0.09,0.1,0.0,0.64,0.84,0.99,0.75,0.95,1.58,0.48,0.07,1.51,0.52,0.0,0.0
Rpl13,208.53,210.45,216.67,206.59,224.65,228.37,203.79,218.98,187.63,178.85,205.28,189.4,176.71,202.28,206.83,189.84
Chmp1a,42.81,41.38,49.66,44.16,47.83,42.75,37.53,56.24,57.41,45.97,42.66,39.91,64.55,51.94,40.06,41.49
Rpa1,22.14,22.19,21.76,22.17,25.93,27.53,27.89,29.43,31.67,28.18,23.82,21.81,33.17,33.1,21.5,23.57
Serpinf1,3.65,5.23,4.0,4.21,6.72,5.05,8.74,7.05,4.72,5.37,4.1,5.97,5.72,7.12,6.23,8.45
Tubgcp3,16.77,14.79,14.05,16.29,16.57,17.23,16.09,16.41,17.83,17.35,14.87,17.96,18.82,16.13,15.04,18.06
Oprm1,4.84,3.64,4.11,4.23,4.12,1.51,3.38,2.79,3.83,1.79,4.73,4.66,3.06,1.68,5.46,5.51
Polr3d,13.35,11.56,8.24,12.91,11.04,12.71,10.98,10.51,10.27,10.98,9.43,12.06,15.71,10.37,10.98,9.66
