gene_id	gene_name	est_counts	tpm
ENSG00000223972.5	DDX11L1	0.0	0.0
ENSG00000227232.5	WASH7P	14.1534	1.07644
ENSG00000278267.1	MIR6859-1	0.0	0.0
ENSG00000243485.5	MIR1302-2HG	0.0	0.0
ENSG00000284332.1	MIR1302-2	0.0	0.0
ENSG00000237613.2	FAM138A	0.0	0.0
ENSG00000268020.3	OR4G4P	0.0	0.0
ENSG00000240361.2	OR4G11P	0.0	0.0
ENSG00000186092.6	OR4F5	0.0	0.0
ENSG00000238009.6	AL627309.1	0.0	0.0
ENSG00000239945.1	AL627309.3	0.0	0.0
ENSG00000233750.3	CICP27	14.9006	0.374138
ENSG00000268903.1	AL627309.6	0.0	0.0
ENSG00000269981.1	AL627309.7	0.0	0.0
ENSG00000239906.1	AL627309.2	0.0	0.0
ENSG00000241860.6	AL627309.5	0.0	0.0
ENSG00000222623.1	RNU6-1100P	0.0	0.0
ENSG00000241599.1	AL627309.4	0.0	0.0
ENSG00000279928.2	FO538757.1	0.0	0.0
ENSG00000279457.4	WASH9P	33.6327	2.46447
ENSG00000273874.1	MIR6859-2	0.0	0.0
ENSG00000228463.10	AP006222.1	77.84116499999999	5.0964191
ENSG00000236679.2	RPL23AP24	0.0	0.0
ENSG00000236601.2	AL732372.1	0.0	0.0
ENSG00000237094.12	AL732372.2	69.6991843437	16.1593658239
ENSG00000269732.1	WBP1LP7	0.0	0.0
ENSG00000284733.1	OR4F29	0.0	0.0
ENSG00000233653.3	CICP7	0.0	0.0
ENSG00000250575.1	AL732372.3	3.35699	0.281291
ENSG00000278757.1	RF00026	0.0	0.0
ENSG00000230021.10	AL669831.3	36.609849999999994	4.2457139999999995
ENSG00000235146.2	AC114498.1	0.0	0.0
ENSG00000225972.1	MTND1P23	4.94189	1.89844
ENSG00000225630.1	MTND2P28	369.035	37.5786
ENSG00000237973.1	MTCO1P12	17.2816	1.13473
ENSG00000278791.1	AC114498.2	0.0	0.0
ENSG00000229344.1	MTCO2P12	0.0	0.0
ENSG00000240409.1	MTATP8P1	2.04903	1.9011
ENSG00000248527.1	MTATP6P1	2237.13	379.935
ENSG00000198744.5	MTCO3P12	7.63129	1.71816
ENSG00000268663.1	WBP1LP6	0.0	0.0
ENSG00000284662.1	OR4F16	0.0	0.0
ENSG00000229376.3	CICP3	0.0	0.0
ENSG00000228327.3	AL669831.1	82.565	1.21013
ENSG00000223181.1	RNU6-1199P	0.0	0.0
ENSG00000229905.1	AL669831.2	0.0	0.0
ENSG00000237491.9	AL669831.5	0.0	0.0
ENSG00000285268.1	AL669831.7	1.12444	2.71155
ENSG00000230092.7	AL669831.4	4.1263	0.518599
ENSG00000177757.2	FAM87B	0.0	0.0
ENSG00000228794.8	LINC01128	0.0	0.0
ENSG00000225880.5	LINC00115	0.0	0.0
ENSG00000230368.2	FAM41C	0.0	0.0
ENSG00000234711.1	TUBB8P11	0.0	0.0
ENSG00000283040.1	AL669831.6	0.0	0.0
ENSG00000272438.1	AL645608.6	0.0	0.0
ENSG00000230699.2	AL645608.2	0.0	0.0
ENSG00000241180.1	AL645608.4	0.0	0.0
ENSG00000223764.2	LINC02593	0.0	0.0
ENSG00000187634.12	SAMD11	35.313431	1.837106
ENSG00000188976.11	NOC2L	1701.14184	64.091075
ENSG00000187961.14	KLHL17	23.0	1.2071710000000002
ENSG00000187583.10	PLEKHN1	9.0	0.358335
ENSG00000187642.9	PERM1	1.0	0.0862204
ENSG00000272512.1	AL645608.7	0.0	0.0
ENSG00000188290.10	HES4	69.00006	7.93847
ENSG00000187608.9	ISG15	288.0	53.2172
ENSG00000231702.2	AL645608.3	0.0	0.0
ENSG00000224969.1	AL645608.1	0.0	0.0
ENSG00000188157.15	AGRN	539.25835	7.211708
ENSG00000242590.1	AL645608.5	0.0	0.0
ENSG00000217801.10	AL390719.1	11.0	2.077867
ENSG00000273443.1	AL645608.8	0.0	0.0
ENSG00000237330.3	RNF223	1.00222	0.0524731
ENSG00000131591.17	C1orf159	198.00001	10.859594
ENSG00000285812.1	AL390719.3	0.0	0.0
ENSG00000223823.1	LINC01342	0.0	0.0
ENSG00000207730.3	MIR200B	0.0	0.0
ENSG00000207607.3	MIR200A	0.0	0.0
ENSG00000198976.1	MIR429	0.0	0.0
ENSG00000272141.1	AL390719.2	0.0	0.0
ENSG00000205231.1	TTLL10-AS1	0.0	0.0
ENSG00000162571.13	TTLL10	2.0	0.0933725
ENSG00000186891.14	TNFRSF18	45.000029999999995	4.494502
ENSG00000186827.11	TNFRSF4	5.0	0.4923
ENSG00000078808.16	SDF4	2252.9958	130.826029
ENSG00000176022.6	B3GALT6	141.999998	4.9116943
ENSG00000184163.3	C1QTNF12	6.0	0.61642
ENSG00000260179.1	AL162741.1	0.0	0.0
ENSG00000160087.20	UBE2J2	1088.99942	70.15368699999999
ENSG00000230415.1	LINC01786	0.0	0.0
ENSG00000162572.20	SCNN1D	6.9999910000000005	0.9499112
ENSG00000131584.19	ACAP3	318.1013529768	11.782635558883
ENSG00000278073.1	MIR6726	0.0	0.0
ENSG00000169972.12	PUSL1	322.65303	27.764614299999998
ENSG00000127054.20	INTS11	1053.1969930982	58.577726119480005
ENSG00000283712.1	MIR6727	0.0	0.0
ENSG00000240731.1	AL139287.1	0.0	0.0
ENSG00000224051.7	CPTP	176.99993	8.440231
ENSG00000169962.5	TAS1R3	1.0	0.0276446
ENSG00000107404.20	DVL1	135.99999	5.571365999999999
ENSG00000284372.1	MIR6808	0.0	0.0
ENSG00000162576.16	MXRA8	2830.002614	151.4890202
ENSG00000175756.13	AURKAIP1	948.0006000000001	121.20459
ENSG00000223663.2	NDUFB4P8	0.0	0.0
ENSG00000221978.12	CCNL2	1411.89184	79.023315
ENSG00000224870.6	MRPL20-AS1	0.0	0.0
ENSG00000242485.6	MRPL20	1353.4085400000001	218.40281000000002
ENSG00000264293.2	RN7SL657P	0.0	0.0
ENSG00000272455.1	AL391244.2	0.0	0.0
ENSG00000235098.8	ANKRD65	10.64443	0.930659
ENSG00000225905.1	AL391244.1	0.0	0.0
ENSG00000205116.3	TMEM88B	0.0	0.0
ENSG00000225285.1	LINC01770	0.0	0.0
ENSG00000179403.12	VWA1	17.0	1.7406679999999999
ENSG00000215915.9	ATAD3C	8.79484	0.218039
ENSG00000160072.19	ATAD3B	413.40350000000007	14.98836
ENSG00000284740.1	AL645728.2	5.954330000000001	2.584507
ENSG00000197785.13	ATAD3A	540.7256300775066	23.54973600289008
ENSG00000205090.9	TMEM240	0.0	0.0
ENSG00000160075.12	SSU72	1038.0365	72.93053400000001
ENSG00000215014.5	AL645728.1	0.0	0.0
ENSG00000274481.1	AL691432.3	0.0	0.0
ENSG00000228594.4	FNDC10	3.0	0.139353
ENSG00000272106.1	AL691432.2	0.0	0.0
ENSG00000197530.12	MIB2	330.01946999999996	12.4982562
ENSG00000189409.13	MMP23B	13.999979999999999	1.276643
ENSG00000248333.8	CDK11B	293.765	20.073050000000002
ENSG00000272004.1	FO704657.1	0.0	0.0
ENSG00000189339.11	SLC35E2B	365.37176	6.232117
ENSG00000269737.2	AL691432.1	7.34766	0.527924
ENSG00000215914.4	MMP23A	1.36079e-05	1.42825e-06
ENSG00000008128.23	CDK11A	167.2346768956	12.7075428554941
ENSG00000268575.1	AL031282.2	0.0	0.0
ENSG00000227775.3	AL031282.1	16.27106	2.9526769999999996
ENSG00000215790.7	SLC35E2A	254.120566	7.6897903
ENSG00000008130.15	NADK	307.9997987999999	12.63081086
ENSG00000078369.18	GNB1	503.00659	16.7341486
ENSG00000231050.1	AL109917.1	0.0	0.0
ENSG00000169885.10	CALML6	0.0	0.0
ENSG00000178821.13	TMEM52	7.0	0.7444080000000001
ENSG00000142609.18	CFAP74	16.323079999999997	1.2005994
ENSG00000233542.1	AL391845.2	0.0	0.0
ENSG00000187730.9	GABRD	0.0	0.0
ENSG00000226969.1	AL391845.1	0.0	0.0
ENSG00000067606.17	PRKCZ	2.30098	0.4992937
ENSG00000271806.1	AL590822.2	0.0	0.0
ENSG00000182873.5	PRKCZ-AS1	0.0	0.0
ENSG00000162585.17	FAAP20	801.83791	101.39117000000002
ENSG00000234396.3	AL590822.1	0.0	0.0
ENSG00000157933.10	SKI	142.0	2.20342
ENSG00000116151.14	MORN1	101.71106999999999	5.7935613
ENSG00000272161.1	AL589739.1	0.0	0.0
ENSG00000269896.2	AL513477.1	15.0	0.60986
ENSG00000272420.1	AL513477.2	0.0	0.0
ENSG00000157916.20	RER1	2027.0947600000002	171.962414
ENSG00000157911.10	PEX10	665.9055999999999	35.05512
ENSG00000149527.18	PLCH2	41.43163	1.057592
ENSG00000224387.1	AL139246.1	0.0	0.0
ENSG00000229393.1	AL139246.4	0.0	0.0
ENSG00000157881.14	PANK4	93.133252167015	4.08451420645741
ENSG00000197921.6	HES5	0.0	0.0
ENSG00000272449.2	AL139246.5	0.0	0.0
ENSG00000238164.6	TNFRSF14-AS1	0.0	0.0
ENSG00000157873.17	TNFRSF14	21.49999	1.5354430000000001
ENSG00000225931.3	AL139246.2	0.0	0.0
ENSG00000228037.1	AL139246.3	0.0	0.0
ENSG00000157870.16	PRXL2B	181.60230556	6.473980715
ENSG00000142606.16	MMEL1	1.39753	0.310887
ENSG00000237058.1	AL831784.1	0.0	0.0
ENSG00000215912.12	TTC34	0.0	0.0
ENSG00000285945.1	AC242022.2	0.0	0.0
ENSG00000283259.1	AC242022.1	0.0	0.0
ENSG00000233234.1	AL592464.2	0.0	0.0
ENSG00000231630.1	AL592464.1	0.0	0.0
ENSG00000284745.1	AL589702.1	0.0	0.0
ENSG00000169717.6	ACTRT2	0.0	0.0
ENSG00000177133.10	LINC00982	0.0	0.0
ENSG00000142611.17	PRDM16	36.000021261520004	0.6146623280827
ENSG00000283572.1	MIR4251	0.0	0.0
ENSG00000226286.1	AL008733.1	0.0	0.0
ENSG00000279839.1	AL512383.1	0.0	0.0
ENSG00000272235.1	AL590438.1	0.0	0.0
ENSG00000130762.15	ARHGEF16	0.99999972	0.044500978
ENSG00000272088.1	AL512413.1	0.0	0.0
ENSG00000162591.16	MEGF6	161.99978000000002	3.470679
ENSG00000207776.1	MIR551A	0.0	0.0
ENSG00000238260.1	AL513320.1	0.0	0.0
ENSG00000158109.15	TPRG1L	162.422	6.62117
ENSG00000116213.16	WRAP73	332.28104469759995	21.05238785928
ENSG00000078900.15	TP73	11.7921927849	0.31061805447519997
ENSG00000227589.1	AL136528.1	0.0	0.0
ENSG00000235131.1	AL136528.2	0.0	0.0
ENSG00000227372.12	TP73-AS1	210.1403177	6.127298417
ENSG00000276189.1	RF02197	0.0	0.0
ENSG00000162592.10	CCDC27	1.11636	0.0404341
ENSG00000235169.8	SMIM1	0.99999961	0.29713864
ENSG00000130764.10	LRRC47	1108.8642	26.983240000000002
ENSG00000266075.2	RN7SL574P	0.0	0.0
ENSG00000272153.1	AL365330.1	0.0	0.0
ENSG00000116198.13	CEP104	241.1711146	11.71829907
ENSG00000169598.15	DFFB	82.83385	2.959765
ENSG00000198912.11	C1orf174	372.47953	22.331088
ENSG00000236423.5	LINC01134	0.0	0.0
ENSG00000233304.6	LINC01346	0.0	0.0
ENSG00000226374.2	LINC01345	0.0	0.0
ENSG00000284668.1	AL805961.1	0.0	0.0
ENSG00000284703.1	AL805961.2	0.0	0.0
ENSG00000229280.1	EEF1DP6	0.0	0.0
ENSG00000235054.3	LINC01777	0.0	0.0
ENSG00000284694.1	AL355602.1	0.0	0.0
ENSG00000227169.2	Z98747.1	0.0	0.0
ENSG00000232596.2	LINC01646	0.0	0.0
ENSG00000196581.10	AJAP1	0.0	0.0
ENSG00000284739.1	BX005132.2	0.0	0.0
ENSG00000284674.1	BX005132.1	0.0	0.0
ENSG00000231510.1	AL691497.1	0.0	0.0
ENSG00000284616.1	AL139823.1	0.0	0.0
ENSG00000284692.2	Z98259.3	0.0	0.0
ENSG00000284666.1	Z98259.2	0.0	0.0
ENSG00000260972.1	Z98259.1	0.0	0.0
ENSG00000283356.1	Z97988.2	0.0	0.0
ENSG00000236948.2	AL365255.1	0.0	0.0
ENSG00000264341.1	Z97988.1	0.0	0.0
ENSG00000264101.1	MIR4689	0.0	0.0
ENSG00000131697.18	NPHP4	137.99991	3.2493939000000003
ENSG00000069424.14	KCNAB2	62.00001	2.2482403
ENSG00000116254.18	CHD5	2.0	0.0382143
ENSG00000285629.1	AL031847.2	0.0	0.0
ENSG00000116251.11	RPL22	2318.068759999999	251.749427
ENSG00000226944.1	AL031847.1	0.0	0.0
ENSG00000158286.13	RNF207	16.653583	1.0451873
ENSG00000116237.16	ICMT	1373.7471999999998	42.53427
ENSG00000225077.3	LINC00337	0.0	0.0
ENSG00000173673.7	HES3	0.0	0.0
